"Year","Grain Carbon %","Grain Sulfur %","Grain Nitrogen %","Total Residue Wet Weight (grams)","Residue Sub-Sample Wet Weight (grams)","Residue Sub-Sample Dry Weight (grams)","Residue Nitrogen %","Residue Sulfur %","Residue Carbon %","Grain Harvest Comments","Residue Sample Comments","total grain yield dry(grams/M2)","X","Y","ID2","Crop"
1999,41.01,0.1755,2.359,1133.3,92.3,85.3,0.49,0.1,43.27,,,337.608267716535,-117.079286,46.779047,41,"spring wheat"
1999,41.13,0.1752,2.432,964.5,88.2,83.8,0.42,0.09,43.27,,,347.780511811024,-117.08870619,46.77911338,42,"spring wheat"
1999,41.41,0.1741,2.383,973.2,106,94.1,0.34,0.07,43.39,,,351.441929133858,-117.088318,46.779153,43,"spring wheat"
1999,41.43,0.1765,2.341,701.8,95.5,90.8,0.41,0.08,43.75,,,227.829724409449,-117.0879,46.779128,44,"spring wheat"
1999,42.86,0.1937,2.775,625.4,70.8,68.9,0.44,0.07,43.77,,,182.982283464567,-117.08746351,46.77928833,45,"spring wheat"
1999,40.84,0.165,2.215,647.8,85.9,84.5,0.32,0.07,43.43,,,218.907480314961,-117.087064,46.779278,46,"spring wheat"
1999,41.68,0.1827,2.503,721.5,84.6,81.22,0.38,0.08,44.18,,,255.167322834646,-117.086646,46.779363,47,"spring wheat"
1999,42.01,0.1693,2.282,890.5,95.4,91.8,0.29,0.06,44.24,,,324.694881889764,-117.086228,46.779333,48,"spring wheat"
1999,41.81,0.1786,2.43,1209.6,106.3,101.4,0.44,0.1,46.56,,,377.992125984252,-117.08581,46.779238,49,"spring wheat"
1999,41.55,0.1905,2.562,1073.9,120.9,112,0.34,0.08,41.16,,,381.146653543307,-117.08533553,46.77932123,50,"spring wheat"
1999,41.34,0.1723,2.39,871.3,94.8,90.9,0.37,0.07,43.53,,,283.489173228346,-117.08496351,46.77919681,51,"spring wheat"
1999,41.83,0.1739,2.468,1190.1,120.5,111.4,0.39,0.07,44.11,,,360.629921259842,-117.084556,46.779293,52,"spring wheat"
1999,49.12,0.2218,2.233,1414.6,112.1,105.9,0.37,0.07,43.4,,,323.262795275591,-117.084138,46.779246,53,"spring wheat"
1999,49.33,0.21,2.017,835.8,126.7,113.8,0.39,0.06,44.11,,,257.165354330709,-117.08372,46.779309,54,"spring wheat"
1999,49.32,0.2268,2.219,753,99.2,96.3,0.42,0.07,44.05,,,235.319881889764,-117.083302,46.77923,55,"spring wheat"
1999,45.89,0.2226,2.178,950.6,91.5,86.8,0.47,0.07,46.89,,,326.860236220472,-117.08290191,46.77931128,56,"spring wheat"
1999,43.58,0.2409,2.438,746.4,92.7,90.9,0.5,0.07,43.89,,,228.794291338583,-117.082466,46.779336,57,"spring wheat"
1999,43.54,0.2156,2.311,832.8,104.2,103.5,0.32,0.06,43.42,,,291.264763779528,-117.082048,46.779138,58,"spring wheat"
1999,43.33,0.2038,2.028,676.1,80.5,78.8,0.36,0.06,42.79,,,161.825787401575,-117.08160015,46.77925244,59,"spring wheat"
1999,,,,,,,,,,,,,-117.081212,46.779279,60,"spring wheat"
1999,,,,,,,,,,,,,-117.080794,46.779135,61,"spring wheat"
1999,36.82,0.157,2.322,859.3,86.3,84.5,0.48,0.08,43.91,,,213.740157480315,-117.08039988,46.77941847,62,"spring wheat"
1999,43.92,0.1852,2.497,932.6,91,89.5,0.39,0.08,43.46,,,311.161417322835,-117.079958,46.779369,63,"spring wheat"
1999,42.38,0.1884,2.659,904.6,89.5,88.7,0.4,0.09,43.49,,,279.320866141732,-117.07954,46.779333,64,"spring wheat"
1999,41.98,0.1714,2.353,859.2,98.5,95.4,0.32,0.07,43.68,,,311.043307086614,-117.079122,46.779254,65,"spring wheat"
1999,42.11,0.1845,2.538,941,85.4,82.1,0.39,0.06,43.65,,,295.024606299213,-117.07873385,46.77928646,66,"spring wheat"
1999,41.88,0.1844,2.569,1074.9,92.3,89,0.45,0.08,44.04,,,355,-117.078286,46.779271,67,"spring wheat"
1999,41.7,0.1816,2.456,804.4,103.5,96.5,0.4,0.1,44.3,,,302.691929133858,-117.088231,46.779439,68,"spring wheat"
1999,42.9,0.1714,2.351,665.5,86.6,82.4,0.32,0.07,44.92,,,241.599409448819,-117.087813,46.779414,69,"spring wheat"
1999,42.72,0.1572,2.183,831.6,78.3,74.3,0.24,0.06,44.59,,,260.11811023622,-117.087395,46.779587,70,"spring wheat"
1999,42.65,0.1846,2.551,512.2,79.1,77.8,0.45,0.08,43.8,,,190.265748031496,-117.086977,46.779564,71,"spring wheat"
1999,42.79,0.1863,2.398,694.3,87.7,82.9,0.35,0.09,42.89,,,251.948818897638,-117.086559,46.779649,72,"spring wheat"
1999,42.16,0.176,2.526,696.1,84,78.9,0.37,0.09,43.34,,,288.646653543307,-117.08617246,46.77963697,73,"spring wheat"
1999,42.33,0.1814,2.477,974.3,96.4,91.8,0.34,0.09,43.01,,,368.813976377953,-117.08569155,46.77950963,74,"spring wheat"
1999,42.16,0.1669,2.241,928.2,119.7,109.5,0.35,0.06,43.29,,,295.561023622047,-117.085305,46.779642,75,"spring wheat"
1999,42.18,0.1731,2.272,818.7,106.6,98.9,0.35,0.06,43.4,,,318.218503937008,-117.084887,46.77949,76,"spring wheat"
1999,42.01,0.1685,2.238,733.1,114.5,109.5,0.33,0.07,43.89,,,238.966535433071,-117.084469,46.779579,77,"spring wheat"
1999,42.13,0.1706,2.177,1047.6,121.9,115.5,0.25,0.05,44.68,,,320.974409448819,-117.084051,46.779532,78,"spring wheat"
1999,42.19,0.1747,2.235,714.7,120.4,114.4,0.32,0.06,44.58,,,222.214566929134,-117.083633,46.779595,79,"spring wheat"
1999,41.88,0.1652,2.2,910,123.7,113.9,0.32,0.07,43.7,,,305.423228346457,-117.083215,46.779516,80,"spring wheat"
1999,42.68,0.1652,2.264,869.9,101.7,96.1,0.37,0.06,43.88,,,299.808070866142,-117.082797,46.779585,81,"spring wheat"
1999,42.09,0.1708,2.246,642.5,81.7,74.5,0.3,0.06,43.56,,,203.86811023622,-117.082379,46.779622,82,"spring wheat"
1999,42.38,0.1806,2.369,633.7,80.8,77.1,0.37,0.07,43.25,,,209.758858267717,-117.081961,46.779424,83,"spring wheat"
1999,41.72,0.1815,2.419,676,86.7,82.2,0.42,0.07,43.87,,,209.045275590551,-117.081543,46.779563,84,"spring wheat"
1999,41.88,0.1946,2.579,836.6,66.2,63.4,0.47,0.08,43.58,,,256.781496062992,-117.081125,46.779565,85,"spring wheat"
1999,42.44,0.171,2.266,924.3,101.7,97.1,0.35,0.07,43.61,,,259.242125984252,-117.080707,46.779421,86,"spring wheat"
1999,42.22,0.176,2.392,674,76.8,75.7,0.34,0.06,43.69,,,233.282480314961,-117.080289,46.779684,87,"spring wheat"
1999,42.03,0.1785,2.382,720.2,84.1,82.7,0.32,0.06,43.89,,,222.869094488189,-117.079871,46.779655,88,"spring wheat"
1999,41.62,0.1876,2.432,779.9,97.3,93.4,0.31,0.07,43.89,,,224.581692913386,-117.07944702,46.77960671,89,"spring wheat"
1999,42.44,0.2058,2.514,797.8,94,89,0.39,0.08,43.47,,,239.330708661417,-117.079035,46.77954,90,"spring wheat"
1999,41.78,0.2003,2.729,965.2,68,65.8,0.44,0.1,43.18,,,317.898622047244,-117.078617,46.779552,91,"spring wheat"
1999,42.09,0.1903,2.477,952.3,94.8,89,0.4,0.13,42.42,,,358.833661417323,-117.078199,46.779557,92,"spring wheat"
1999,41.73,0.1854,2.424,984,85.6,83.9,0.3,0.06,43.25,,,290.634842519685,-117.077781,46.779494,93,"spring wheat"
1999,41.87,0.1861,2.362,772.8,83,80.1,0.45,0.08,43.83,,,194.064960629921,-117.077363,46.779658,94,"spring wheat"
1999,43.12,0.2334,3.065,846.7,58.3,57.2,0.51,0.12,42.81,,,290.014763779528,-117.08807304,46.77971682,95,"spring wheat"
1999,42.4,0.1763,2.196,935.1,98.9,94.9,0.32,0.07,44.44,,,337.042322834646,-117.087663,46.7797,96,"spring wheat"
1999,42.09,0.1908,2.436,746.6,81.8,79.9,0.35,0.09,44.02,,,266.648622047244,-117.087245,46.779873,97,"spring wheat"
1999,42.64,0.1806,2.394,783.2,98.6,96.3,0.3,0.07,43.7,,,272.244094488189,-117.086827,46.77985,98,"spring wheat"
1999,42.45,0.1886,2.63,682.6,88.5,85.4,0.37,0.07,43.14,,,256.929133858268,-117.086409,46.779935,99,"spring wheat"
1999,43.01,0.2009,2.673,835.8,90.9,89.5,0.47,0.08,43.36,,,278.312007874016,-117.085991,46.779905,100,"spring wheat"
1999,42.57,0.1843,2.514,717,104.9,99.25,0.31,0.07,43.92,,,240.029527559055,-117.085573,46.77981,101,"spring wheat"
1999,42.11,0.1837,2.384,666.3,98.7,96.6,0.32,0.07,43.85,,,189.532480314961,-117.085155,46.779928,102,"spring wheat"
1999,42.19,0.1816,2.363,771,119.2,113.8,0.33,0.06,43.75,,,240.698818897638,-117.084737,46.779776,103,"spring wheat"
1999,42.69,0.2197,3.006,1035,97.3,91.3,0.47,0.11,43.27,,,312.445866141732,-117.08434522,46.77988297,104,"spring wheat"
1999,,,,,,,,,,,,,-117.083901,46.779818,105,"spring wheat"
1999,42.26,0.2326,3.143,838.5,87.7,84,0.52,0.1,42.37,,,272.475393700787,-117.083483,46.779881,106,"spring wheat"
1999,,,,,,,,,,,,,-117.083065,46.779802,107,"spring wheat"
1999,42.98,0.1916,2.438,999.8,99,96.4,0.33,0.06,43.33,,,285.137795275591,-117.082647,46.779871,108,"spring wheat"
1999,42.72,0.1726,2.304,1066.8,124.3,112.46,0.44,0.06,43.83,,,341.668307086614,-117.08219348,46.77987977,109,"spring wheat"
1999,42.16,0.1965,2.582,729.9,103.4,100.7,0.48,0.06,43.33,,,197.017716535433,-117.08175331,46.77967045,110,"spring wheat"
1999,42.31,0.2156,2.727,672.4,86.2,84.6,0.47,0.07,43.53,,,193.415354330709,-117.081393,46.779849,111,"spring wheat"
1999,42.23,0.1878,2.401,756.8,82.2,79.9,0.35,0.07,42.77,,,259.931102362205,-117.080975,46.779851,112,"spring wheat"
1999,42.09,0.1805,2.349,663.4,70.2,68.2,0.41,0.06,43.1,,,231.505905511811,-117.08053909,46.77969063,113,"spring wheat"
1999,42.69,0.2037,2.586,532.1,72,69.2,0.37,0.07,43.39,,,167.386811023622,-117.080139,46.77997,114,"spring wheat"
1999,41.31,0.2008,2.685,930.4,57.1,56.1,0.52,0.08,43.63,,,251.860236220472,-117.07970309,46.77992463,115,"spring wheat"
1999,42.43,0.2006,2.584,812.7,100.1,97.3,0.36,0.06,44.12,,,227.952755905512,-117.079303,46.779905,116,"spring wheat"
1999,41.96,0.178,2.331,828.6,97.1,95.9,0.32,0.06,43.45,,,280.187007874016,-117.078885,46.779826,117,"spring wheat"
1999,43.15,0.2018,2.686,759.9,98.1,97.1,0.47,0.06,43.58,,,212.908464566929,-117.078467,46.779838,118,"spring wheat"
1999,43.24,0.2214,2.257,917.5,79,75.5,0.3,0.05,43.57,,,270.999015748031,-117.07801916,46.77982663,119,"spring wheat"
1999,44.79,0.2436,2.476,986,65.1,61.4,0.48,0.07,41.65,,,262.273622047244,-117.077631,46.77978,120,"spring wheat"
1999,44.13,0.2927,2.791,481.4,55.3,53,0.48,0.07,42.92,,,126.924212598425,-117.077213,46.779944,121,"spring wheat"
1999,43.64,0.2332,2.534,1044.1,96.6,95.7,0.7,0.11,43.75,,,362.524606299213,-117.087699,46.779986,122,"spring wheat"
1999,43.02,0.2185,2.444,959.9,52.6,50.1,0.51,0.07,42.26,,,345.191929133858,-117.087281,46.780159,123,"spring wheat"
1999,43.29,0.2595,2.699,841.4,36.1,35.8,0.49,0.07,45.85,,,256.95374015748,-117.086863,46.780136,124,"spring wheat"
1999,42.13,0.2117,2.231,749.3,52.2,48.5,0.67,0.1,43.54,,,267.637795275591,-117.086445,46.780221,125,"spring wheat"
1999,42.49,0.2344,2.377,571.3,45.1,44.1,0.46,0.08,44.6,,,206.32874015748,-117.08601127,46.78018382,126,"spring wheat"
1999,43.57,0.2169,2.327,843.1,61.7,59.2,0.49,0.07,41.95,,,203.75,-117.08559328,46.78008882,127,"spring wheat"
1999,44.19,0.2267,2.558,880,58.2,57.5,0.43,0.06,41.33,,,270.66437007874,-117.085191,46.780214,128,"spring wheat"
1999,43.42,0.1929,2.061,767.2,76.3,73.4,0.33,0.06,42.79,,,235.034448818898,-117.084773,46.780062,129,"spring wheat"
1999,,,,,,,,,,,,,-117.084355,46.780151,130,"spring wheat"
1999,43.25,0.245,2.333,475.5,41.9,40.9,0.37,0.07,44.25,,,126.013779527559,-117.083937,46.780104,131,"spring wheat"
1999,43.22,0.1935,2.037,862.2,59.2,58.4,0.28,0.06,42.44,,,252.022637795276,-117.083519,46.780167,132,"spring wheat"
1999,43.26,0.1871,2.02,906.8,81.5,79.6,0.29,0.06,43.74,,,287.170275590551,-117.083101,46.780088,133,"spring wheat"
1999,43.75,0.2301,2.409,820.7,85.2,83.4,0.41,0.07,43.13,,,239.443897637795,-117.082683,46.780157,134,"spring wheat"
1999,42.84,0.2117,2.216,873.9,81.6,81.1,0.41,0.06,43.45,,,258.188976377953,-117.082265,46.780194,135,"spring wheat"
1999,42.41,0.2145,2.199,1176.9,99.5,98.6,0.38,0.07,43.03,,,299.837598425197,-117.081847,46.779996,136,"spring wheat"
1999,41.48,0.2058,2.196,1023.5,74,70.2,0.43,0.06,43.77,,,283.400590551181,-117.08145287,46.78014727,137,"spring wheat"
1999,40.89,0.1803,1.866,565.7,75.9,72.9,0.32,0.05,43.7,,,167.977362204724,-117.081011,46.780137,138,"spring wheat"
1999,40.51,0.2202,2.195,589.6,66.8,64.6,0.33,0.07,43.37,,,190.383858267717,-117.080593,46.779993,139,"spring wheat"
1999,41.35,0.2242,2.253,601.5,95.7,91.1,0.39,0.08,43.95,,,180.127952755906,-117.080175,46.780256,140,"spring wheat"
1999,41.24,0.234,2.221,920.6,91.8,86.4,0.34,0.08,43.59,,,185.718503937008,-117.079757,46.780227,141,"spring wheat"
1999,40.45,0.2268,2.44,748.7,84.8,76.2,0.42,0.08,43.2,,,211.958661417323,-117.079339,46.780191,142,"spring wheat"
1999,40.12,0.231,2.429,900.6,91.8,86.9,0.45,0.08,43.31,,,209.547244094488,-117.0789031,46.78010382,143,"spring wheat"
1999,41.49,0.2299,2.328,787.3,115.8,111.1,0.38,0.07,44.3,,,196.624015748031,-117.078503,46.780124,144,"spring wheat"
1999,41.41,0.2368,2.464,732.3,133,128.5,0.43,0.08,43.73,,,185.423228346457,-117.078085,46.780129,145,"spring wheat"
1999,40.81,0.2317,2.39,692,89.7,87.9,0.54,0.1,43.02,,,195.113188976378,-117.077667,46.780066,146,"spring wheat"
1999,40.41,0.2681,2.69,561.7,113.8,108.6,0.64,0.16,42.65,,,163.700787401575,-117.077249,46.78023,147,"spring wheat"
1999,39.82,0.1967,2.055,768.6,89.2,85.8,0.3,0.09,43.06,,,257.874015748031,-117.076831,46.780004,148,"spring wheat"
1999,41.85,0.2347,2.625,,,,,,,,,453.464566929134,-117.087103,46.780422,149,"spring wheat"
1999,40.53,0.1848,1.877,,,,,,,,,340.442913385827,-117.086685,46.780507,150,"spring wheat"
1999,39.12,0.1853,1.996,,,,,,,,,255.113188976378,-117.08622506,46.78045544,151,"spring wheat"
1999,40.74,0.2145,2.458,,,,,,,,,228.981299212598,-117.08583327,46.78037122,152,"spring wheat"
1999,40.68,0.2039,2.347,,,,,,,,,130.979330708661,-117.085431,46.7805,153,"spring wheat"
1999,40.11,0.2246,2.405,,,,,,,,,177.637795275591,-117.085013,46.780348,154,"spring wheat"
1999,39.72,0.196,2.021,,,,,,,,,223.838582677165,-117.084595,46.780437,155,"spring wheat"
1999,40.87,0.2007,2.096,,,,,,,,,286.77657480315,-117.084177,46.78039,156,"spring wheat"
1999,40.59,0.199,2.06,,,,,,,,,194.734251968504,-117.083759,46.780453,157,"spring wheat"
1999,40.91,0.2247,2.307,,,,,,,,,175.752952755906,-117.083341,46.780374,158,"spring wheat"
1999,41.03,0.2099,2.152,,,,,,,,,204.192913385827,-117.082923,46.780443,159,"spring wheat"
1999,41.73,0.2272,2.688,,,,,,,,,195.142716535433,-117.082505,46.78048,160,"spring wheat"
1999,40.7,0.1751,2.248,,,,,,,,,137.219488188976,-117.082087,46.780282,161,"spring wheat"
1999,40.71,0.179,2.244,,,,,,,,,114.547244094488,-117.08164513,46.78040873,162,"spring wheat"
1999,40.7,0.1825,2.325,,,,,,,,,118.956692913386,-117.081251,46.780423,163,"spring wheat"
1999,39.29,0.2189,2.705,,,,,,,,,150.54625984252,-117.080833,46.780279,164,"spring wheat"
1999,39.29,0.1833,2.343,,,,,,,,,172.819881889764,-117.080415,46.780542,165,"spring wheat"
1999,39.87,0.2,2.527,,,,,,,,,195.757874015748,-117.079997,46.780513,166,"spring wheat"
1999,40.29,0.2211,2.84,,,,,,,,,201.791338582677,-117.079579,46.780477,167,"spring wheat"
1999,40.24,0.2267,2.807,,,,,,,,,175.487204724409,-117.079161,46.780398,168,"spring wheat"
1999,40.18,0.2266,2.739,,,,,,,,,120.733267716535,-117.078743,46.78041,169,"spring wheat"
1999,40.34,0.2024,2.445,,,,,,,,,103.174212598425,-117.078325,46.780415,170,"spring wheat"
1999,40.66,0.2264,2.662,,,,,,,,,168.799212598425,-117.077907,46.780352,171,"spring wheat"
1999,40.28,0.1993,2.387,,,,,,,,,191.107283464567,-117.077489,46.780516,172,"spring wheat"
1999,40.41,0.2111,2.304,,,,,,,,,178.292322834646,-117.077071,46.78029,173,"spring wheat"
1999,40.12,0.1997,2.229,,,,,,,,,281.535433070866,-117.076653,46.780414,174,"spring wheat"
1999,40.42,0.2259,3.023,,,,,,,,,406.451771653543,-117.086879,46.780708,175,"spring wheat"
1999,41.02,0.2315,2.97,,,,,,,,,350.467519685039,-117.08647678,46.78080097,176,"spring wheat"
1999,41.61,0.2125,2.584,,,,,,,,,265.964566929134,-117.086043,46.780763,177,"spring wheat"
1999,41.36,0.1929,2.354,,,,,,,,,282.977362204724,-117.085625,46.780668,178,"spring wheat"
1999,41.45,0.2176,2.601,,,,,,,,,263.287401574803,-117.085207,46.780786,179,"spring wheat"
1999,41.07,0.1958,2.178,,,,,,,,,267.278543307087,-117.084789,46.780634,180,"spring wheat"
1999,41.44,0.2074,2.558,,,,,,,,,312.327755905512,-117.084371,46.780723,181,"spring wheat"
1999,41.46,0.2242,2.575,,,,,,,,,229.443897637795,-117.08392119,46.78065692,182,"spring wheat"
1999,41.83,0.209,2.541,,,,,,,,,354.251968503937,-117.083535,46.780739,183,"spring wheat"
1999,41.37,0.2175,2.672,,,,,,,,,188.804133858268,-117.083117,46.78066,184,"spring wheat"
1999,41.99,0.2311,2.851,,,,,,,,,272.637795275591,-117.082699,46.780729,185,"spring wheat"
1999,41.55,0.2341,2.751,,,,,,,,,276.540354330709,-117.082281,46.780766,186,"spring wheat"
1999,41.9,0.239,2.717,,,,,,,,,122.736220472441,-117.081863,46.780568,187,"spring wheat"
1999,41.53,0.2274,2.518,,,,,,,,,129.891732283465,-117.081445,46.780707,188,"spring wheat"
1999,40.41,0.2126,2.626,,,,,,,,,288.361220472441,-117.081027,46.780709,189,"spring wheat"
1999,41.85,0.208,2.504,,,,,,,,,218.794291338583,-117.080609,46.780565,190,"spring wheat"
1999,41.18,0.2125,2.478,,,,,,,,,226.107283464567,-117.080191,46.780828,191,"spring wheat"
1999,41.55,0.2132,2.564,,,,,,,,,204.891732283465,-117.079773,46.780799,192,"spring wheat"
1999,41.8,0.2292,2.743,,,,,,,,,258.907480314961,-117.079355,46.780763,193,"spring wheat"
1999,42.15,0.2031,2.399,,,,,,,,,190.457677165354,-117.07891312,46.78066353,194,"spring wheat"
1999,42.22,0.221,2.595,,,,,,,,,164.680118110236,-117.078519,46.780696,195,"spring wheat"
1999,41.99,0.1957,2.378,,,,,,,,,240.620078740157,-117.078101,46.780701,196,"spring wheat"
1999,41.59,0.2216,2.624,,,,,,,,,134.744094488189,-117.077683,46.780638,197,"spring wheat"
1999,41.68,0.2131,2.403,,,,,,,,,249.507874015748,-117.077265,46.780802,198,"spring wheat"
1999,42.13,0.2225,2.409,,,,,,,,,208.779527559055,-117.076847,46.780576,199,"spring wheat"
1999,42.39,0.2224,2.563,,,,,,,,,340.506889763779,-117.0866262,46.7810531,200,"spring wheat"
1999,42.15,0.2482,2.908,,,,,,,,,217.352362204724,-117.086242,46.781049,201,"spring wheat"
1999,42.3,0.2442,3.004,,,,,,,,,216.599409448819,-117.085824,46.780954,202,"spring wheat"
1999,42.6,0.2398,2.704,,,,,,,,,192.790354330709,-117.085406,46.781072,203,"spring wheat"
1999,42.43,0.2647,3.284,,,,,,,,,348.061023622047,-117.084988,46.78092,204,"spring wheat"
1999,41.69,0.2115,2.27,,,,,,,,,323.22342519685,-117.08457,46.781009,205,"spring wheat"
1999,42.28,0.2102,2.376,,,,,,,,,243.986220472441,-117.084152,46.780962,206,"spring wheat"
1999,42.27,0.2273,2.769,,,,,,,,,284.502952755906,-117.08375497,46.78103938,207,"spring wheat"
1999,42.59,0.239,2.754,,,,,,,,,188.149606299213,-117.083316,46.780946,208,"spring wheat"
1999,42.45,0.2433,2.976,,,,,,,,,201.889763779528,-117.082898,46.781015,209,"spring wheat"
1999,38.37,0.2048,2.692,,,,,,,,,333.188976377953,-117.08248,46.781052,210,"spring wheat"
1999,37.92,0.1889,2.368,,,,,,,,,216.614173228346,-117.082062,46.780854,211,"spring wheat"
1999,39.2,0.1895,2.482,,,,,,,,,352.53937007874,-117.081644,46.780993,212,"spring wheat"
1999,,,,,,,,,,,,,-117.081226,46.780995,213,"spring wheat"
1999,39.05,0.1755,2.129,,,,,,,,,260.177165354331,-117.080808,46.780851,214,"spring wheat"
1999,40.39,0.1962,2.312,,,,,,,,,230.659448818898,-117.08043771,46.78111806,215,"spring wheat"
1999,40.76,0.2237,2.856,,,,,,,,,245.836614173228,-117.079972,46.781085,216,"spring wheat"
1999,40.84,0.2143,2.596,,,,,,,,,265.369094488189,-117.079554,46.781049,217,"spring wheat"
