"Year","Project","Crop","Sample Location ID","Column","Row2","Point Number","Point/Plot Treatment","Sample Location Easting","Sample Location Northing","Grain Carbon %","Grain Sulfur %","Grain Nitrogen %","Non-Residue Grain Sample Area (square meters)","Non-Residue Grain Wet Weight (grams)","Non-Residue grain dry weight (grams)","Grain Nitrogen %__1","Grain Sulfur %__1","Grain Carbon %__1","Crop__1","Residue Sample Area (square meters)","Residue plus Grain Wet Weight (grams)","Residue sample Grain Wet Weight (grams)","Residue sample Grain Dry Weight (grams)","Total Residue Wet Weight (grams)","Residue Sub-Sample Wet Weight (grams)","Residue Sub-Sample Dry Weight (grams)","Residue Nitrogen %","Residue Sulfur %","Residue Carbon %","Grain Harvest Comments","Residue Sample Comments","total area harvested (M2)","total grain yield wet(grams)","total grain yield dry (grams)","total grain yield wet (grams/M2)","total grain yield dry(grams/M2)","X","Y","ID2","Strip","Field"
1999,"grid points","spring wheat",16,22,"A",,,493861.755168,5180589.46136,42.15,0.1706,2.234,0,0,0,2.234,0.1706,42.15,"spring wheat",2.032,1739.4,702.7,676.22,1036.7,122.9,113.8,0.44,0.08,43.92,,,2.032,702.7,676.22,345.816929133858,332.785433070866,-117.080408,46.778826,16,4,"C"
1999,"grid points","spring wheat",17,23,"A",,,493893.661479,5180586.20627,42.21,0.1672,2.37,0,0,0,2.37,0.1672,42.21,"spring wheat",2.032,2065.4,809.9,775.04,1255.5,129.3,123.6,0.45,0.09,42.95,,,2.032,809.9,775.04,398.572834645669,381.417322834646,-117.07999,46.778797,17,5,"C"
1999,"grid points","spring wheat",18,1,"B",,,493215.020101998,5180604.1297,41.54,0.1964,2.802,0,0,0,2.802,0.1964,41.54,"spring wheat",2.032,1419.4,582.6,560.64,836.8,93.3,86.3,0.53,0.12,43.38,,,2.032,582.6,560.64,286.712598425197,275.905511811024,-117.08888012,46.77895174,18,1,"A"
1999,"grid points","spring wheat",19,2,"B",,,493246.597671,5180590.1908,42.76,0.1893,2.472,0,0,0,2.472,0.1893,42.76,"spring wheat",2.032,1109.4,423.8,409.23,685.6,77.4,74,0.49,0.1,43.24,,,2.032,423.8,409.23,208.562992125984,201.392716535433,-117.08846626,46.77882662,19,2,"A"
1999,"grid points","spring wheat",20,3,"B",,,493277.310959,5180594.64352,42.22,0.1808,2.465,0,0,0,2.465,0.1808,42.22,"spring wheat",2.032,738.9,409.3,394.62,329.6,66.7,63.6,0.43,0.08,44.23,,,2.032,409.3,394.62,201.427165354331,194.202755905512,-117.088064,46.778867,20,2,"A"
1999,"grid points","spring wheat",21,4,"B",,,493309.217427,5180591.82981,42.16,0.1666,2.226,0,0,0,2.226,0.1666,42.16,"spring wheat",2.032,1177.3,562,539.39,615.3,87.3,82.6,0.3,0.07,42.51,,,2.032,562,539.39,276.574803149606,265.447834645669,-117.087646,46.778842,21,3,"A"
1999,"grid points","spring wheat",22,5,"B",,,493341.148333,5180611.01843998,43.03,0.169,2.31,0,0,0,2.31,0.169,43.03,"spring wheat",2.032,873.5,342.1,330.12,531.4,70.3,67.8,0.32,0.05,44.2,,,2.032,342.1,330.12,168.356299212598,162.46062992126,-117.087228,46.779015,22,4,"A"
1999,"grid points","spring wheat",23,6,"B",,,493371.455618,5180609.62684999,43.26,0.1771,2.338,0,0,0,2.338,0.1771,43.26,"spring wheat",2.032,1173.8,437.5,420.74,736.3,99.2,89.3,0.48,0.07,43.35,,,2.032,437.5,420.74,215.305118110236,207.057086614173,-117.08683097,46.77900278,23,4,"A"
1999,"grid points","spring wheat",24,7,"B",,,493404.974858,5180617.83755,43.09,0.1934,2.604,0,0,0,2.604,0.1934,43.09,"spring wheat",2.032,1239,489.9,471.08,749.1,93.8,84.9,0.52,0.08,43.57,,,2.032,489.9,471.08,241.092519685039,231.830708661417,-117.086392,46.779077,24,5,"A"
1999,"grid points","spring wheat",25,8,"B",,,493436.880652998,5180614.46891,40.87,0.1582,2.104,0,0,0,2.104,0.1582,40.87,"spring wheat",2.032,1685.1,667.8,643.64,1017.3,113.2,103.5,0.47,0.08,43.56,,,2.032,667.8,643.64,328.641732283465,316.751968503937,-117.085974,46.779047,25,6,"A"
1999,"grid points","spring wheat",26,9,"B",,,493468.778624,5180603.8775,41.43,0.179,2.513,0,0,0,2.513,0.179,41.43,"spring wheat",2.032,1677.9,708.8,682.76,969.1,95.8,87.4,0.4,0.08,43.68,,,2.032,708.8,682.76,348.818897637795,336.003937007874,-117.085556,46.778952,26,1,"B"
1999,"grid points","spring wheat",27,10,"B",,,493502.301708,5180616.15558,41.24,0.1813,2.443,0,0,0,2.443,0.1813,41.24,"spring wheat",2.032,1647.7,692.4,667.38,955.3,105.9,97.37,0.4,0.08,44.15,,,2.032,692.4,667.38,340.748031496063,328.435039370079,-117.08511704,46.77906282,27,2,"B"
1999,"grid points","spring wheat",28,11,"B",,,493532.593582,5180600.03024998,41.84,0.1789,2.582,0,0,0,2.582,0.1789,41.84,"spring wheat",2.032,1491.6,592.6,570.8,899,88.4,81.6,0.43,0.07,44.07,,,2.032,592.6,570.8,291.633858267717,280.905511811024,-117.08472,46.778918,28,3,"B"
1999,"grid points","spring wheat",29,12,"B",,,493564.513719999,5180609.88580998,41.58,0.1731,2.381,0,0,0,2.381,0.1731,41.58,"spring wheat",2.032,1486.3,587.9,565.26,898.4,104,96,0.46,0.07,43.8,,,2.032,587.9,565.26,289.320866141732,278.179133858268,-117.084302,46.779007,29,3,"B"
1999,"grid points","spring wheat",30,13,"B",,,493596.417629998,5180604.62894998,41.25,0.1805,2.558,0,0,0,2.558,0.1805,41.25,"spring wheat",2.032,1393.8,574.5,552.81,819.3,82.6,76.7,0.5,0.07,44.57,,,2.032,574.5,552.81,282.726377952756,272.052165354331,-117.083884,46.77896,30,4,"B"
1999,"grid points","spring wheat",31,14,"B",,,493628.334572,5180611.59568,42.24,0.1796,2.563,0,0,0,2.563,0.1796,42.24,"spring wheat",2.032,1499.4,616.2,593.68,883.2,93.6,86.7,0.43,0.08,44.58,,,2.032,616.2,593.68,303.248031496063,292.165354330709,-117.083466,46.779023,31,5,"B"
1999,"grid points","spring wheat",32,15,"B",,,493660.234772,5180602.78325,41.45,0.1709,2.329,0,0,0,2.329,0.1709,41.45,"spring wheat",2.032,1198.4,518.2,499.97,680.2,102.6,95.4,0.33,0.07,44.55,,,2.032,518.2,499.97,255.01968503937,246.048228346457,-117.083048,46.778944,32,6,"B"
1999,"grid points","spring wheat",33,16,"B",,,493692.152348998,5180610.41705,41.73,0.203,2.94,0,0,0,2.94,0.203,41.73,"spring wheat",2.032,909.3,316.1,305.09,593.2,86.9,80.8,0.56,0.08,43.51,,,2.032,316.1,305.09,155.561023622047,150.142716535433,-117.08263,46.779013,33,6,"B"
1999,"grid points","spring wheat",34,17,"B",,,493724.066127,5180614.49512,41.68,0.1637,2.201,0,0,0,2.201,0.1637,41.68,"spring wheat",2.032,1349.8,553.9,534.61,795.9,108.5,101.5,0.31,0.06,43.32,,,2.032,553.9,534.61,272.588582677165,263.095472440945,-117.082212,46.77905,34,1,"C"
1999,"grid points","spring wheat",35,18,"B",,,493755.952693998,5180592.45966999,41.63,0.177,2.318,0,0,0,2.318,0.177,41.63,"spring wheat",2.032,1196.1,390.2,375.12,805.9,122.8,114.2,0.35,0.07,44.28,,,2.032,390.2,375.12,192.027559055118,184.606299212598,-117.081794,46.778852,35,2,"C"
1999,"grid points","spring wheat",36,19,"B",,,493785.602152,5180609.69340998,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.08140584,46.77900737,36,2,"C"
1999,"grid points","spring wheat",37,20,"B",,,493819.787974999,5180608.06183,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.080958,46.778993,37,3,"C"
1999,"grid points","spring wheat",38,21,"B",,,493851.681074,5180592.02747999,41.22,0.1706,2.1,0,0,0,2.1,0.1706,41.22,"spring wheat",2.032,1594.1,686.8,660.93,907.3,114.8,106.5,0.33,0.09,42.84,,,2.032,686.8,660.93,337.992125984252,325.260826771654,-117.08054,46.778849,38,4,"C"
1999,"grid points","spring wheat",39,22,"B",,,493883.620431,5180621.21997999,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.080122,46.779112,39,4,"C"
1999,"grid points","spring wheat",40,23,"B",,,493915.526583998,5180617.96501,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.079704,46.779083,40,5,"C"
1999,"grid points","spring wheat",41,24,"B",,,493947.431986999,5180613.93235,41.01,0.1755,2.359,0,0,0,2.359,0.1755,41.01,"spring wheat",2.032,1839.5,706.2,686.02,1133.3,92.3,85.3,0.49,0.1,43.27,,,2.032,706.2,686.02,347.53937007874,337.608267716535,-117.079286,46.779047,41,6,"C"
1999,"grid points","spring wheat",42,2,"C",,,493228.318106,5180622.07684,41.13,0.1752,2.432,0,0,0,2.432,0.1752,41.13,"spring wheat",2.032,1693.5,729,706.69,964.5,88.2,83.8,0.42,0.09,43.27,,,2.032,729,706.69,358.759842519685,347.780511811024,-117.08870619,46.77911338,42,1,"A"
1999,"grid points","spring wheat",43,3,"C",,,493257.956635,5180626.44617,41.41,0.1741,2.383,0,0,0,2.383,0.1741,41.41,"spring wheat",2.032,1712.8,739.6,714.13,973.2,106,94.1,0.34,0.07,43.39,,,2.032,739.6,714.13,363.976377952756,351.441929133858,-117.088318,46.779153,43,1,"A"
1999,"grid points","spring wheat",44,4,"C",,,493289.862925,5180623.63236,41.43,0.1765,2.341,0,0,0,2.341,0.1765,41.43,"spring wheat",2.032,1182.3,480.5,462.95,701.8,95.5,90.8,0.41,0.08,43.75,,,2.032,480.5,462.95,236.466535433071,227.829724409449,-117.0879,46.779128,44,2,"A"
1999,"grid points","spring wheat",45,5,"C",,,493323.203397998,5180641.41122,42.86,0.1937,2.775,0,0,0,2.775,0.1937,42.86,"spring wheat",2.032,1012.2,386.8,371.82,625.4,70.8,68.9,0.44,0.07,43.77,,,2.032,386.8,371.82,190.354330708661,182.982283464567,-117.08746351,46.77928833,45,3,"A"
1999,"grid points","spring wheat",46,6,"C",,,493353.700202999,5180640.22967,40.84,0.165,2.215,0,0,0,2.215,0.165,40.84,"spring wheat",2.032,1110.6,462.8,444.82,647.8,85.9,84.5,0.32,0.07,43.43,,,2.032,462.8,444.82,227.755905511811,218.907480314961,-117.087064,46.779278,46,3,"A"
1999,"grid points","spring wheat",47,7,"C",,,493385.619934,5180649.63979,41.68,0.1827,2.503,0,0,0,2.503,0.1827,41.68,"spring wheat",2.032,1258.7,537.2,518.5,721.5,84.6,81.22,0.38,0.08,44.18,,,2.032,537.2,518.5,264.370078740158,255.167322834646,-117.086646,46.779363,47,4,"A"
1999,"grid points","spring wheat",48,8,"C",,,493417.525549,5180646.27104999,42.01,0.1693,2.282,0,0,0,2.282,0.1693,42.01,"spring wheat",2.032,1573,682.5,659.78,890.5,95.4,91.8,0.29,0.06,44.24,,,2.032,682.5,659.78,335.875984251968,324.694881889764,-117.086228,46.779333,48,5,"A"
1999,"grid points","spring wheat",49,9,"C",,,493449.423316998,5180635.67953998,41.81,0.1786,2.43,0,0,0,2.43,0.1786,41.81,"spring wheat",2.032,2004.1,794.5,768.08,1209.6,106.3,101.4,0.44,0.1,46.56,,,2.032,794.5,768.08,390.994094488189,377.992125984252,-117.08581,46.779238,49,6,"A"
1999,"grid points","spring wheat",50,10,"C",,,493485.653631,5180644.88845,41.55,0.1905,2.562,0,0,0,2.562,0.1905,41.55,"spring wheat",2.032,1874.4,800.5,774.49,1073.9,120.9,112,0.34,0.08,41.16,,,2.032,800.5,774.49,393.946850393701,381.146653543307,-117.08533553,46.77932123,50,1,"B"
1999,"grid points","spring wheat",51,11,"C",,,493514.037611,5180631.03239998,41.34,0.1723,2.39,0,0,0,2.39,0.1723,41.34,"spring wheat",2.032,1466.9,595.6,576.05,871.3,94.8,90.9,0.37,0.07,43.53,,,2.032,595.6,576.05,293.110236220472,283.489173228346,-117.08496351,46.77919681,51,2,"B"
1999,"grid points","spring wheat",52,12,"C",,,493545.157926,5180641.68754,41.83,0.1739,2.468,0,0,0,2.468,0.1739,41.83,"spring wheat",2.032,1949,758.9,732.8,1190.1,120.5,111.4,0.39,0.07,44.11,,,2.032,758.9,732.8,373.474409448819,360.629921259842,-117.084556,46.779293,52,2,"B"
1999,"grid points","spring wheat",53,13,"C",,,493577.061649999,5180636.43058,49.12,0.2218,2.233,0,0,0,2.233,0.2218,49.12,"spring wheat",2.032,1697.3,681.22,656.87,1414.6,112.1,105.9,0.37,0.07,43.4,,,2.032,681.22,656.87,335.246062992126,323.262795275591,-117.084138,46.779246,53,3,"B"
1999,"grid points","spring wheat",54,14,"C",,,493608.978445,5180643.39719999,49.33,0.21,2.017,0,0,0,2.017,0.21,49.33,"spring wheat",2.032,1377.3,541.5,522.56,835.8,126.7,113.8,0.39,0.06,44.11,,,2.032,541.5,522.56,266.486220472441,257.165354330709,-117.08372,46.779309,54,4,"B"
1999,"grid points","spring wheat",55,15,"C",,,493640.878448,5180634.58466999,49.32,0.2268,2.219,0,0,0,2.219,0.2268,49.32,"spring wheat",2.032,1248,495,478.17,753,99.2,96.3,0.42,0.07,44.05,,,2.032,495,478.17,243.602362204724,235.319881889764,-117.083302,46.77923,55,5,"B"
1999,"grid points","spring wheat",56,16,"C",,,493671.430219998,5180643.58402999,45.89,0.2226,2.178,0,0,0,2.178,0.2226,45.89,"spring wheat",2.032,1638.7,688.1,664.18,950.6,91.5,86.8,0.47,0.07,46.89,,,2.032,688.1,664.18,338.63188976378,326.860236220472,-117.08290191,46.77931128,56,5,"B"
1999,"grid points","spring wheat",57,17,"C",,,493704.709503,5180646.29633,43.58,0.2409,2.438,0,0,0,2.438,0.2409,43.58,"spring wheat",2.032,1228.3,481.9,464.91,746.4,92.7,90.9,0.5,0.07,43.89,,,2.032,481.9,464.91,237.155511811024,228.794291338583,-117.082466,46.779336,57,6,"B"
1999,"grid points","spring wheat",58,18,"C",,,493736.595831,5180624.26078,43.54,0.2156,2.311,0,0,0,2.311,0.2156,43.54,"spring wheat",2.032,1445.5,612.7,591.85,832.8,104.2,103.5,0.32,0.06,43.42,,,2.032,612.7,591.85,301.525590551181,291.264763779528,-117.082048,46.779138,58,1,"C"
1999,"grid points","spring wheat",59,19,"C",,,493770.797374,5180636.94221,43.33,0.2038,2.028,0,0,0,2.028,0.2038,43.33,"spring wheat",2.032,1017,340.9,328.83,676.1,80.5,78.8,0.36,0.06,42.79,,,2.032,340.9,328.83,167.765748031496,161.825787401575,-117.08160015,46.77925244,59,2,"C"
1999,"grid points","spring wheat",60,20,"C",,,493800.430823998,5180639.86273,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.081212,46.779279,60,2,"C"
1999,"grid points","spring wheat",61,21,"C",,,493832.323702,5180623.82828,,,,,,,,,,"spring wheat",,,,,,,,,,,,,,,,,,-117.080794,46.779135,61,3,"C"
1999,"grid points","spring wheat",62,22,"C",,,493862.442104,5180655.29678,36.82,0.157,2.322,0,0,0,2.322,0.157,36.82,"spring wheat",2.032,1308.6,449.3,434.32,859.3,86.3,84.5,0.48,0.08,43.91,,,2.032,449.3,434.32,221.112204724409,213.740157480315,-117.08039988,46.77941847,62,3,"C"
1999,"grid points","spring wheat",63,23,"C",,,493896.168958998,5180649.76559999,43.92,0.1852,2.497,0,0,0,2.497,0.1852,43.92,"spring wheat",2.032,1587.5,654.9,632.28,932.6,91,89.5,0.39,0.08,43.46,,,2.032,654.9,632.28,322.293307086614,311.161417322835,-117.079958,46.779369,63,4,"C"
1999,"grid points","spring wheat",64,24,"C",,,493928.07418,5180645.73285,42.38,0.1884,2.659,0,0,0,2.659,0.1884,42.38,"spring wheat",2.032,1491.5,586.9,567.58,904.6,89.5,88.7,0.4,0.09,43.49,,,2.032,586.9,567.58,288.82874015748,279.320866141732,-117.07954,46.779333,64,5,"C"
1999,"grid points","spring wheat",65,25,"C",,,493959.974636,5180636.92200998,41.98,0.1714,2.353,0,0,0,2.353,0.1714,41.98,"spring wheat",2.032,1513.9,654.7,632.04,859.2,98.5,95.4,0.32,0.07,43.68,,,2.032,654.7,632.04,322.194881889764,311.043307086614,-117.079122,46.779254,65,6,"C"
1999,"grid points","spring wheat",66,26,"C",,,493989.609204999,5180640.49954998,42.11,0.1845,2.538,0,0,0,2.538,0.1845,42.11,"spring wheat",2.032,1561.2,620.2,599.49,941,85.4,82.1,0.39,0.06,43.65,,,2.032,620.2,599.49,305.216535433071,295.024606299213,-117.07873385,46.77928646,66,6,"C"
1999,"grid points","spring wheat",67,27,"C",,,494023.795189,5180638.7472,41.88,0.1844,2.569,0,0,0,2.569,0.1844,41.88,"spring wheat",2.032,1821.7,746.8,721.36,1074.9,92.3,89,0.45,0.08,44.04,,,2.032,746.8,721.36,367.51968503937,355,-117.078286,46.779271,67,7,"C"
1999,"grid points","spring wheat",68,3,"D",,,493264.633727999,5180658.21963,41.7,0.1816,2.456,0,0,0,2.456,0.1816,41.7,"spring wheat",2.032,1441.1,636.7,615.07,804.4,103.5,96.5,0.4,0.1,44.3,,,2.032,636.7,615.07,313.336614173228,302.691929133858,-117.088231,46.779439,68,1,"A"
1999,"grid points","spring wheat",69,4,"D",,,493296.539852,5180655.40584999,42.9,0.1714,2.351,0,0,0,2.351,0.1714,42.9,"spring wheat",2.032,1173.4,507.9,490.93,665.5,86.6,82.4,0.32,0.07,44.92,,,2.032,507.9,490.93,249.950787401575,241.599409448819,-117.087813,46.779414,69,2,"A"
1999,"grid points","spring wheat",70,5,"D",,,493328.470462,5180674.59442,42.72,0.1572,2.183,0,0,0,2.183,0.1572,42.72,"spring wheat",2.032,1377.9,546.3,528.56,831.6,78.3,74.3,0.24,0.06,44.59,,,2.032,546.3,528.56,268.84842519685,260.11811023622,-117.087395,46.779587,70,2,"A"
1999,"grid points","spring wheat",71,6,"D",,,493360.376774,5180672.00322,42.65,0.1846,2.551,0,0,0,2.551,0.1846,42.65,"spring wheat",2.032,911.9,399.7,386.62,512.2,79.1,77.8,0.45,0.08,43.8,,,2.032,399.7,386.62,196.702755905512,190.265748031496,-117.086977,46.779564,71,3,"A"
1999,"grid points","spring wheat",72,7,"D",,,493392.296325,5180681.41339,42.79,0.1863,2.398,0,0,0,2.398,0.1863,42.79,"spring wheat",2.032,1224.2,529.9,511.96,694.3,87.7,82.9,0.35,0.09,42.89,,,2.032,529.9,511.96,260.777559055118,251.948818897638,-117.086559,46.779649,72,4,"A"
1999,"grid points","spring wheat",73,8,"D",,,493421.802718,5180680.04389,42.16,0.176,2.526,0,0,0,2.526,0.176,42.16,"spring wheat",2.032,1302.8,606.7,586.53,696.1,84,78.9,0.37,0.09,43.34,,,2.032,606.7,586.53,298.572834645669,288.646653543307,-117.08617246,46.77963697,73,4,"A"
1999,"grid points","spring wheat",74,9,"D",,,493458.498443,5180665.85384,42.33,0.1814,2.477,0,0,0,2.477,0.1814,42.33,"spring wheat",2.032,1748.1,773.8,749.43,974.3,96.4,91.8,0.34,0.09,43.01,,,2.032,773.8,749.43,380.807086614173,368.813976377953,-117.08569155,46.77950963,74,6,"A"
1999,"grid points","spring wheat",75,10,"D",,,493488.022789,5180680.53091,42.16,0.1669,2.241,0,0,0,2.241,0.1669,42.16,"spring wheat",2.032,1551,622.8,600.58,928.2,119.7,109.5,0.35,0.06,43.29,,,2.032,622.8,600.58,306.496062992126,295.561023622047,-117.085305,46.779642,75,6,"A"
1999,"grid points","spring wheat",76,11,"D",,,493519.91366,5180663.60582,42.18,0.1731,2.272,0,0,0,2.272,0.1731,42.18,"spring wheat",2.032,1490.1,671.4,646.62,818.7,106.6,98.9,0.35,0.06,43.4,,,2.032,671.4,646.62,330.413385826772,318.218503937008,-117.084887,46.77949,76,1,"B"
1999,"grid points","spring wheat",77,12,"D",,,493551.833480998,5180673.46131999,42.01,0.1685,2.238,0,0,0,2.238,0.1685,42.01,"spring wheat",2.032,1237.1,504,485.58,733.1,114.5,109.5,0.33,0.07,43.89,,,2.032,504,485.58,248.031496062992,238.966535433071,-117.084469,46.779579,77,2,"B"
1999,"grid points","spring wheat",78,13,"D",,,493583.737041999,5180668.20438,42.13,0.1706,2.177,0,0,0,2.177,0.1706,42.13,"spring wheat",2.032,1723.6,676,652.22,1047.6,121.9,115.5,0.25,0.05,44.68,,,2.032,676,652.22,332.677165354331,320.974409448819,-117.084051,46.779532,78,3,"B"
1999,"grid points","spring wheat",79,14,"D",,,493615.653661,5180675.17105,42.19,0.1747,2.235,0,0,0,2.235,0.1747,42.19,"spring wheat",2.032,1184.6,469.9,451.54,714.7,120.4,114.4,0.32,0.06,44.58,,,2.032,469.9,451.54,231.25,222.214566929134,-117.083633,46.779595,79,3,"B"
1999,"grid points","spring wheat",80,15,"D",,,493647.553504,5180666.35855,41.88,0.1652,2.2,0,0,0,2.2,0.1652,41.88,"spring wheat",2.032,1553,643,620.62,910,123.7,113.9,0.32,0.07,43.7,,,2.032,643,620.62,316.437007874016,305.423228346457,-117.083215,46.779516,80,4,"B"
1999,"grid points","spring wheat",81,16,"D",,,493679.47076,5180673.99227998,42.68,0.1652,2.264,0,0,0,2.264,0.1652,42.68,"spring wheat",2.032,1502.7,632.8,609.21,869.9,101.7,96.1,0.37,0.06,43.88,,,2.032,632.8,609.21,311.417322834646,299.808070866142,-117.082797,46.779585,81,5,"B"
1999,"grid points","spring wheat",82,17,"D",,,493711.384207998,5180678.07027999,42.09,0.1708,2.246,0,0,0,2.246,0.1708,42.09,"spring wheat",2.032,1072.6,430.1,414.26,642.5,81.7,74.5,0.3,0.06,43.56,,,2.032,430.1,414.26,211.663385826772,203.86811023622,-117.082379,46.779622,82,6,"B"
1999,"grid points","spring wheat",83,18,"D",,,493743.270391,5180656.03476,42.38,0.1806,2.369,0,0,0,2.369,0.1806,42.38,"spring wheat",2.032,1075.7,442,426.23,633.7,80.8,77.1,0.37,0.07,43.25,,,2.032,442,426.23,217.51968503937,209.758858267717,-117.081961,46.779424,83,1,"C"
