Year,ID2,Crop,total grain yield dry (grams),GrainMassFinal,Grain Nitrogen %..19,GrainNitrogen,GrainNUbbie,GrainNUnger,GrainNUbbieRmOutlier,GrainNUngerRmOutlier,GrainNFinal,Grain Carbon %..21,GrainCarbon,GrainCUbbie,GrainCUnger,GrainCUbbieRmOutlier,GrainCUngerRmOutlier,GrainCFinal
1999,15,SW,519.8,519.8,2.233,2.233,2.233,2.233,2.233,2.233,2.233,43.57,43.57,43.57,43.57,43.57,43.57,43.57
1999,16,SW,676.22,676.22,2.234,2.234,2.234,2.234,2.234,2.234,2.234,42.15,42.15,42.15,42.15,42.15,42.15,42.15
1999,17,SW,775.04,775.04,2.37,2.37,2.37,2.37,2.37,2.37,2.37,42.21,42.21,42.21,42.21,42.21,42.21,42.21
1999,18,SW,560.64,560.64,2.802,2.802,2.802,2.802,2.802,2.802,2.802,41.54,41.54,41.54,41.54,41.54,41.54,41.54
1999,19,SW,409.23,409.23,2.472,2.472,2.472,2.472,2.472,2.472,2.472,42.76,42.76,42.76,42.76,42.76,42.76,42.76
1999,20,SW,394.62,394.62,2.465,2.465,2.465,2.465,2.465,2.465,2.465,42.22,42.22,42.22,42.22,42.22,42.22,42.22
1999,21,SW,539.39,539.39,2.226,2.226,2.226,2.226,2.226,2.226,2.226,42.16,42.16,42.16,42.16,42.16,42.16,42.16
1999,22,SW,330.12,330.12,2.31,2.31,2.31,2.31,2.31,2.31,2.31,43.03,43.03,43.03,43.03,43.03,43.03,43.03
1999,23,SW,420.74,420.74,2.338,2.338,2.338,2.338,2.338,2.338,2.338,43.26,43.26,43.26,43.26,43.26,43.26,43.26
1999,24,SW,471.08,471.08,2.604,2.604,2.604,2.604,2.604,2.604,2.604,43.09,43.09,43.09,43.09,43.09,43.09,43.09
1999,25,SW,643.64,643.64,2.104,2.104,2.104,2.104,2.104,2.104,2.104,40.87,40.87,40.87,40.87,40.87,40.87,40.87
1999,26,SW,682.76,682.76,2.513,2.513,2.513,2.513,2.513,2.513,2.513,41.43,41.43,41.43,41.43,41.43,41.43,41.43
1999,27,SW,667.38,667.38,2.443,2.443,2.443,2.443,2.443,2.443,2.443,41.24,41.24,41.24,41.24,41.24,41.24,41.24
1999,28,SW,570.8,570.8,2.582,2.582,2.582,2.582,2.582,2.582,2.582,41.84,41.84,41.84,41.84,41.84,41.84,41.84
1999,29,SW,565.26,565.26,2.381,2.381,2.381,2.381,2.381,2.381,2.381,41.58,41.58,41.58,41.58,41.58,41.58,41.58
1999,30,SW,552.81,552.81,2.558,2.558,2.558,2.558,2.558,2.558,2.558,41.25,41.25,41.25,41.25,41.25,41.25,41.25
1999,31,SW,593.68,593.68,2.563,2.563,2.563,2.563,2.563,2.563,2.563,42.24,42.24,42.24,42.24,42.24,42.24,42.24
1999,32,SW,499.97,499.97,2.329,2.329,2.329,2.329,2.329,2.329,2.329,41.45,41.45,41.45,41.45,41.45,41.45,41.45
1999,33,SW,305.09,305.09,2.94,2.94,2.94,2.94,2.94,2.94,2.94,41.73,41.73,41.73,41.73,41.73,41.73,41.73
1999,34,SW,534.61,534.61,2.201,2.201,2.201,2.201,2.201,2.201,2.201,41.68,41.68,41.68,41.68,41.68,41.68,41.68
1999,35,SW,375.12,375.12,2.318,2.318,2.318,2.318,2.318,2.318,2.318,41.63,41.63,41.63,41.63,41.63,41.63,41.63
1999,36,SW,,,,0,,,,,,,0,,,,,
1999,37,SW,,,,0,,,,,,,0,,,,,
1999,38,SW,660.93,660.93,2.1,2.1,2.1,2.1,2.1,2.1,2.1,41.22,41.22,41.22,41.22,41.22,41.22,41.22
1999,39,SW,,,,0,,,,,,,0,,,,,
1999,40,SW,,,,0,,,,,,,0,,,,,
1999,41,SW,686.02,686.02,2.359,2.359,2.359,2.359,2.359,2.359,2.359,41.01,41.01,41.01,41.01,41.01,41.01,41.01
1999,42,SW,706.69,706.69,2.432,2.432,2.432,2.432,2.432,2.432,2.432,41.13,41.13,41.13,41.13,41.13,41.13,41.13
1999,43,SW,714.13,714.13,2.383,2.383,2.383,2.383,2.383,2.383,2.383,41.41,41.41,41.41,41.41,41.41,41.41,41.41
1999,44,SW,462.95,462.95,2.341,2.341,2.341,2.341,2.341,2.341,2.341,41.43,41.43,41.43,41.43,41.43,41.43,41.43
1999,45,SW,371.82,371.82,2.775,2.775,2.775,2.775,2.775,2.775,2.775,42.86,42.86,42.86,42.86,42.86,42.86,42.86
1999,46,SW,444.82,444.82,2.215,2.215,2.215,2.215,2.215,2.215,2.215,40.84,40.84,40.84,40.84,40.84,40.84,40.84
1999,47,SW,518.5,518.5,2.503,2.503,2.503,2.503,2.503,2.503,2.503,41.68,41.68,41.68,41.68,41.68,41.68,41.68
1999,48,SW,659.78,659.78,2.282,2.282,2.282,2.282,2.282,2.282,2.282,42.01,42.01,42.01,42.01,42.01,42.01,42.01
1999,49,SW,768.08,768.08,2.43,2.43,2.43,2.43,2.43,2.43,2.43,41.81,41.81,41.81,41.81,41.81,41.81,41.81
1999,50,SW,774.49,774.49,2.562,2.562,2.562,2.562,2.562,2.562,2.562,41.55,41.55,41.55,41.55,41.55,41.55,41.55
1999,51,SW,576.05,576.05,2.39,2.39,2.39,2.39,2.39,2.39,2.39,41.34,41.34,41.34,41.34,41.34,41.34,41.34
1999,52,SW,732.8,732.8,2.468,2.468,2.468,2.468,2.468,2.468,2.468,41.83,41.83,41.83,41.83,41.83,41.83,41.83
1999,53,SW,656.87,656.87,2.233,2.233,2.233,2.233,2.233,2.233,2.233,49.12,49.12,49.12,49.12,,,
1999,54,SW,522.56,522.56,2.017,2.017,2.017,2.017,2.017,2.017,2.017,49.33,49.33,49.33,49.33,,,
1999,55,SW,478.17,478.17,2.219,2.219,2.219,2.219,2.219,2.219,2.219,49.32,49.32,49.32,49.32,,,
1999,56,SW,664.18,664.18,2.178,2.178,2.178,2.178,2.178,2.178,2.178,45.89,45.89,45.89,45.89,,,
1999,57,SW,464.91,464.91,2.438,2.438,2.438,2.438,2.438,2.438,2.438,43.58,43.58,43.58,43.58,43.58,43.58,43.58
1999,58,SW,591.85,591.85,2.311,2.311,2.311,2.311,2.311,2.311,2.311,43.54,43.54,43.54,43.54,43.54,43.54,43.54
1999,59,SW,328.83,328.83,2.028,2.028,2.028,2.028,2.028,2.028,2.028,43.33,43.33,43.33,43.33,43.33,43.33,43.33
1999,60,SW,,,,0,,,,,,,0,,,,,
1999,61,SW,,,,0,,,,,,,0,,,,,
1999,62,SW,434.32,434.32,2.322,2.322,2.322,2.322,2.322,2.322,2.322,36.82,36.82,36.82,36.82,,,
1999,63,SW,632.28,632.28,2.497,2.497,2.497,2.497,2.497,2.497,2.497,43.92,43.92,43.92,43.92,43.92,43.92,43.92
1999,64,SW,567.58,567.58,2.659,2.659,2.659,2.659,2.659,2.659,2.659,42.38,42.38,42.38,42.38,42.38,42.38,42.38
1999,65,SW,632.04,632.04,2.353,2.353,2.353,2.353,2.353,2.353,2.353,41.98,41.98,41.98,41.98,41.98,41.98,41.98
1999,66,SW,599.49,599.49,2.538,2.538,2.538,2.538,2.538,2.538,2.538,42.11,42.11,42.11,42.11,42.11,42.11,42.11
1999,67,SW,721.36,721.36,2.569,2.569,2.569,2.569,2.569,2.569,2.569,41.88,41.88,41.88,41.88,41.88,41.88,41.88
1999,68,SW,615.07,615.07,2.456,2.456,2.456,2.456,2.456,2.456,2.456,41.7,41.7,41.7,41.7,41.7,41.7,41.7
1999,69,SW,490.93,490.93,2.351,2.351,2.351,2.351,2.351,2.351,2.351,42.9,42.9,42.9,42.9,42.9,42.9,42.9
1999,70,SW,528.56,528.56,2.183,2.183,2.183,2.183,2.183,2.183,2.183,42.72,42.72,42.72,42.72,42.72,42.72,42.72
1999,71,SW,386.62,386.62,2.551,2.551,2.551,2.551,2.551,2.551,2.551,42.65,42.65,42.65,42.65,42.65,42.65,42.65
1999,72,SW,511.96,511.96,2.398,2.398,2.398,2.398,2.398,2.398,2.398,42.79,42.79,42.79,42.79,42.79,42.79,42.79
1999,73,SW,586.53,586.53,2.526,2.526,2.526,2.526,2.526,2.526,2.526,42.16,42.16,42.16,42.16,42.16,42.16,42.16
1999,74,SW,749.43,749.43,2.477,2.477,2.477,2.477,2.477,2.477,2.477,42.33,42.33,42.33,42.33,42.33,42.33,42.33
1999,75,SW,600.58,600.58,2.241,2.241,2.241,2.241,2.241,2.241,2.241,42.16,42.16,42.16,42.16,42.16,42.16,42.16
1999,76,SW,646.62,646.62,2.272,2.272,2.272,2.272,2.272,2.272,2.272,42.18,42.18,42.18,42.18,42.18,42.18,42.18
1999,77,SW,485.58,485.58,2.238,2.238,2.238,2.238,2.238,2.238,2.238,42.01,42.01,42.01,42.01,42.01,42.01,42.01
1999,78,SW,652.22,652.22,2.177,2.177,2.177,2.177,2.177,2.177,2.177,42.13,42.13,42.13,42.13,42.13,42.13,42.13
1999,79,SW,451.54,451.54,2.235,2.235,2.235,2.235,2.235,2.235,2.235,42.19,42.19,42.19,42.19,42.19,42.19,42.19
1999,80,SW,620.62,620.62,2.2,2.2,2.2,2.2,2.2,2.2,2.2,41.88,41.88,41.88,41.88,41.88,41.88,41.88
1999,81,SW,609.21,609.21,2.264,2.264,2.264,2.264,2.264,2.264,2.264,42.68,42.68,42.68,42.68,42.68,42.68,42.68
1999,82,SW,414.26,414.26,2.246,2.246,2.246,2.246,2.246,2.246,2.246,42.09,42.09,42.09,42.09,42.09,42.09,42.09
1999,83,SW,426.23,426.23,2.369,2.369,2.369,2.369,2.369,2.369,2.369,42.38,42.38,42.38,42.38,42.38,42.38,42.38
1999,84,SW,424.78,424.78,2.419,2.419,2.419,2.419,2.419,2.419,2.419,41.72,41.72,41.72,41.72,41.72,41.72,41.72
1999,85,SW,521.78,521.78,2.579,2.579,2.579,2.579,2.579,2.579,2.579,41.88,41.88,41.88,41.88,41.88,41.88,41.88
1999,86,SW,526.78,526.78,2.266,2.266,2.266,2.266,2.266,2.266,2.266,42.44,42.44,42.44,42.44,42.44,42.44,42.44
1999,87,SW,474.03,474.03,2.392,2.392,2.392,2.392,2.392,2.392,2.392,42.22,42.22,42.22,42.22,42.22,42.22,42.22
1999,88,SW,452.87,452.87,2.382,2.382,2.382,2.382,2.382,2.382,2.382,42.03,42.03,42.03,42.03,42.03,42.03,42.03
1999,89,SW,456.35,456.35,2.432,2.432,2.432,2.432,2.432,2.432,2.432,41.62,41.62,41.62,41.62,41.62,41.62,41.62
1999,90,SW,486.32,486.32,2.514,2.514,2.514,2.514,2.514,2.514,2.514,42.44,42.44,42.44,42.44,42.44,42.44,42.44
1999,91,SW,645.97,645.97,2.729,2.729,2.729,2.729,2.729,2.729,2.729,41.78,41.78,41.78,41.78,41.78,41.78,41.78
1999,92,SW,729.15,729.15,2.477,2.477,2.477,2.477,2.477,2.477,2.477,42.09,42.09,42.09,42.09,42.09,42.09,42.09
1999,93,SW,590.57,590.57,2.424,2.424,2.424,2.424,2.424,2.424,2.424,41.73,41.73,41.73,41.73,41.73,41.73,41.73
1999,94,SW,394.34,394.34,2.362,2.362,2.362,2.362,2.362,2.362,2.362,41.87,41.87,41.87,41.87,41.87,41.87,41.87
1999,95,SW,589.31,589.31,3.065,3.065,3.065,3.065,3.065,3.065,3.065,43.12,43.12,43.12,43.12,43.12,43.12,43.12
1999,96,SW,684.87,684.87,2.196,2.196,2.196,2.196,2.196,2.196,2.196,42.4,42.4,42.4,42.4,42.4,42.4,42.4
1999,97,SW,541.83,541.83,2.436,2.436,2.436,2.436,2.436,2.436,2.436,42.09,42.09,42.09,42.09,42.09,42.09,42.09
1999,98,SW,553.2,553.2,2.394,2.394,2.394,2.394,2.394,2.394,2.394,42.64,42.64,42.64,42.64,42.64,42.64,42.64
1999,99,SW,522.08,522.08,2.63,2.63,2.63,2.63,2.63,2.63,2.63,42.45,42.45,42.45,42.45,42.45,42.45,42.45
1999,100,SW,565.53,565.53,2.673,2.673,2.673,2.673,2.673,2.673,2.673,43.01,43.01,43.01,43.01,43.01,43.01,43.01
1999,101,SW,487.74,487.74,2.514,2.514,2.514,2.514,2.514,2.514,2.514,42.57,42.57,42.57,42.57,42.57,42.57,42.57
1999,102,SW,385.13,385.13,2.384,2.384,2.384,2.384,2.384,2.384,2.384,42.11,42.11,42.11,42.11,42.11,42.11,42.11
1999,103,SW,489.1,489.1,2.363,2.363,2.363,2.363,2.363,2.363,2.363,42.19,42.19,42.19,42.19,42.19,42.19,42.19
1999,104,SW,634.89,634.89,3.006,3.006,3.006,3.006,3.006,3.006,3.006,42.69,42.69,42.69,42.69,42.69,42.69,42.69
1999,105,SW,,,,0,,,,,,,0,,,,,
1999,106,SW,553.67,553.67,3.143,3.143,3.143,3.143,3.143,3.143,3.143,42.26,42.26,42.26,42.26,42.26,42.26,42.26
1999,107,SW,,,,0,,,,,,,0,,,,,
1999,108,SW,579.4,579.4,2.438,2.438,2.438,2.438,2.438,2.438,2.438,42.98,42.98,42.98,42.98,42.98,42.98,42.98
1999,109,SW,694.27,694.27,2.304,2.304,2.304,2.304,2.304,2.304,2.304,42.72,42.72,42.72,42.72,42.72,42.72,42.72
1999,110,SW,400.34,400.34,2.582,2.582,2.582,2.582,2.582,2.582,2.582,42.16,42.16,42.16,42.16,42.16,42.16,42.16
1999,111,SW,393.02,393.02,2.727,2.727,2.727,2.727,2.727,2.727,2.727,42.31,42.31,42.31,42.31,42.31,42.31,42.31
1999,112,SW,528.18,528.18,2.401,2.401,2.401,2.401,2.401,2.401,2.401,42.23,42.23,42.23,42.23,42.23,42.23,42.23
1999,113,SW,470.42,470.42,2.349,2.349,2.349,2.349,2.349,2.349,2.349,42.09,42.09,42.09,42.09,42.09,42.09,42.09
1999,114,SW,340.13,340.13,2.586,2.586,2.586,2.586,2.586,2.586,2.586,42.69,42.69,42.69,42.69,42.69,42.69,42.69
1999,115,SW,511.78,511.78,2.685,2.685,2.685,2.685,2.685,2.685,2.685,41.31,41.31,41.31,41.31,41.31,41.31,41.31
1999,116,SW,463.2,463.2,2.584,2.584,2.584,2.584,2.584,2.584,2.584,42.43,42.43,42.43,42.43,42.43,42.43,42.43
1999,117,SW,569.34,569.34,2.331,2.331,2.331,2.331,2.331,2.331,2.331,41.96,41.96,41.96,41.96,41.96,41.96,41.96
1999,118,SW,432.63,432.63,2.686,2.686,2.686,2.686,2.686,2.686,2.686,43.15,43.15,43.15,43.15,43.15,43.15,43.15
1999,119,SW,550.67,550.67,2.257,2.257,2.257,2.257,2.257,2.257,2.257,43.24,43.24,43.24,43.24,43.24,43.24,43.24
1999,120,SW,532.94,532.94,2.476,2.476,2.476,2.476,2.476,2.476,2.476,44.79,44.79,44.79,44.79,44.79,44.79,44.79
1999,121,SW,257.91,257.91,2.791,2.791,2.791,2.791,2.791,2.791,2.791,44.13,44.13,44.13,44.13,44.13,44.13,44.13
1999,122,SW,736.65,736.65,2.534,2.534,2.534,2.534,2.534,2.534,2.534,43.64,43.64,43.64,43.64,43.64,43.64,43.64
1999,123,SW,701.43,701.43,2.444,2.444,2.444,2.444,2.444,2.444,2.444,43.02,43.02,43.02,43.02,43.02,43.02,43.02
1999,124,SW,522.13,522.13,2.699,2.699,2.699,2.699,2.699,2.699,2.699,43.29,43.29,43.29,43.29,43.29,43.29,43.29
1999,125,SW,543.84,543.84,2.231,2.231,2.231,2.231,2.231,2.231,2.231,42.13,42.13,42.13,42.13,42.13,42.13,42.13
1999,126,SW,419.26,419.26,2.377,2.377,2.377,2.377,2.377,2.377,2.377,42.49,42.49,42.49,42.49,42.49,42.49,42.49
1999,127,SW,414.02,414.02,2.327,2.327,2.327,2.327,2.327,2.327,2.327,43.57,43.57,43.57,43.57,43.57,43.57,43.57
1999,128,SW,549.99,549.99,2.558,2.558,2.558,2.558,2.558,2.558,2.558,44.19,44.19,44.19,44.19,44.19,44.19,44.19
1999,129,SW,477.59,477.59,2.061,2.061,2.061,2.061,2.061,2.061,2.061,43.42,43.42,43.42,43.42,43.42,43.42,43.42
1999,130,SW,,,,0,,,,,,,0,,,,,
1999,131,SW,256.06,256.06,2.333,2.333,2.333,2.333,2.333,2.333,2.333,43.25,43.25,43.25,43.25,43.25,43.25,43.25
1999,132,SW,512.11,512.11,2.037,2.037,2.037,2.037,2.037,2.037,2.037,43.22,43.22,43.22,43.22,43.22,43.22,43.22
1999,133,SW,583.53,583.53,2.02,2.02,2.02,2.02,2.02,2.02,2.02,43.26,43.26,43.26,43.26,43.26,43.26,43.26
1999,134,SW,486.55,486.55,2.409,2.409,2.409,2.409,2.409,2.409,2.409,43.75,43.75,43.75,43.75,43.75,43.75,43.75
1999,135,SW,524.64,524.64,2.216,2.216,2.216,2.216,2.216,2.216,2.216,42.84,42.84,42.84,42.84,42.84,42.84,42.84
1999,136,SW,609.27,609.27,2.199,2.199,2.199,2.199,2.199,2.199,2.199,42.41,42.41,42.41,42.41,42.41,42.41,42.41
1999,137,SW,575.87,575.87,2.196,2.196,2.196,2.196,2.196,2.196,2.196,41.48,41.48,41.48,41.48,41.48,41.48,41.48
1999,138,SW,341.33,341.33,1.866,1.866,1.866,1.866,1.866,1.866,1.866,40.89,40.89,40.89,40.89,40.89,40.89,40.89
1999,139,SW,386.86,386.86,2.195,2.195,2.195,2.195,2.195,2.195,2.195,40.51,40.51,40.51,40.51,40.51,40.51,40.51
1999,140,SW,366.02,366.02,2.253,2.253,2.253,2.253,2.253,2.253,2.253,41.35,41.35,41.35,41.35,41.35,41.35,41.35
1999,141,SW,377.38,377.38,2.221,2.221,2.221,2.221,2.221,2.221,2.221,41.24,41.24,41.24,41.24,41.24,41.24,41.24
1999,142,SW,430.7,430.7,2.44,2.44,2.44,2.44,2.44,2.44,2.44,40.45,40.45,40.45,40.45,40.45,40.45,40.45
1999,143,SW,425.8,425.8,2.429,2.429,2.429,2.429,2.429,2.429,2.429,40.12,40.12,40.12,40.12,40.12,40.12,40.12
1999,144,SW,399.54,399.54,2.328,2.328,2.328,2.328,2.328,2.328,2.328,41.49,41.49,41.49,41.49,41.49,41.49,41.49
1999,145,SW,376.78,376.78,2.464,2.464,2.464,2.464,2.464,2.464,2.464,41.41,41.41,41.41,41.41,41.41,41.41,41.41
1999,146,SW,396.47,396.47,2.39,2.39,2.39,2.39,2.39,2.39,2.39,40.81,40.81,40.81,40.81,40.81,40.81,40.81
1999,147,SW,332.64,332.64,2.69,2.69,2.69,2.69,2.69,2.69,2.69,40.41,40.41,40.41,40.41,40.41,40.41,40.41
1999,148,SW,524,524,2.055,2.055,2.055,2.055,2.055,2.055,2.055,39.82,39.82,39.82,39.82,39.82,39.82,39.82
1999,149,SW,921.44,921.44,2.625,2.625,2.625,2.625,2.625,2.625,2.625,41.85,41.85,41.85,41.85,41.85,41.85,41.85
1999,150,SW,691.78,691.78,1.877,1.877,1.877,1.877,1.877,1.877,1.877,40.53,40.53,40.53,40.53,40.53,40.53,40.53
1999,151,SW,518.39,518.39,1.996,1.996,1.996,1.996,1.996,1.996,1.996,39.12,39.12,39.12,39.12,39.12,39.12,39.12
1999,152,SW,465.29,465.29,2.458,2.458,2.458,2.458,2.458,2.458,2.458,40.74,40.74,40.74,40.74,40.74,40.74,40.74
1999,153,SW,266.15,266.15,2.347,2.347,2.347,2.347,2.347,2.347,2.347,40.68,40.68,40.68,40.68,40.68,40.68,40.68
1999,154,SW,360.96,360.96,2.405,2.405,2.405,2.405,2.405,2.405,2.405,40.11,40.11,40.11,40.11,40.11,40.11,40.11
1999,155,SW,454.84,454.84,2.021,2.021,2.021,2.021,2.021,2.021,2.021,39.72,39.72,39.72,39.72,39.72,39.72,39.72
1999,156,SW,582.73,582.73,2.096,2.096,2.096,2.096,2.096,2.096,2.096,40.87,40.87,40.87,40.87,40.87,40.87,40.87
1999,157,SW,395.7,395.7,2.06,2.06,2.06,2.06,2.06,2.06,2.06,40.59,40.59,40.59,40.59,40.59,40.59,40.59
1999,158,SW,357.13,357.13,2.307,2.307,2.307,2.307,2.307,2.307,2.307,40.91,40.91,40.91,40.91,40.91,40.91,40.91
1999,159,SW,414.92,414.92,2.152,2.152,2.152,2.152,2.152,2.152,2.152,41.03,41.03,41.03,41.03,41.03,41.03,41.03
1999,160,SW,396.53,396.53,2.688,2.688,2.688,2.688,2.688,2.688,2.688,41.73,41.73,41.73,41.73,41.73,41.73,41.73
1999,161,SW,278.83,278.83,2.248,2.248,2.248,2.248,2.248,2.248,2.248,40.7,40.7,40.7,40.7,40.7,40.7,40.7
1999,162,SW,232.76,232.76,2.244,2.244,2.244,2.244,2.244,2.244,2.244,40.71,40.71,40.71,40.71,40.71,40.71,40.71
1999,163,SW,241.72,241.72,2.325,2.325,2.325,2.325,2.325,2.325,2.325,40.7,40.7,40.7,40.7,40.7,40.7,40.7
1999,164,SW,305.91,305.91,2.705,2.705,2.705,2.705,2.705,2.705,2.705,39.29,39.29,39.29,39.29,39.29,39.29,39.29
1999,165,SW,351.17,351.17,2.343,2.343,2.343,2.343,2.343,2.343,2.343,39.29,39.29,39.29,39.29,39.29,39.29,39.29
1999,166,SW,397.78,397.78,2.527,2.527,2.527,2.527,2.527,2.527,2.527,39.87,39.87,39.87,39.87,39.87,39.87,39.87
1999,167,SW,410.04,410.04,2.84,2.84,2.84,2.84,2.84,2.84,2.84,40.29,40.29,40.29,40.29,40.29,40.29,40.29
1999,168,SW,356.59,356.59,2.807,2.807,2.807,2.807,2.807,2.807,2.807,40.24,40.24,40.24,40.24,40.24,40.24,40.24
1999,169,SW,245.33,245.33,2.739,2.739,2.739,2.739,2.739,2.739,2.739,40.18,40.18,40.18,40.18,40.18,40.18,40.18
1999,170,SW,209.65,209.65,2.445,2.445,2.445,2.445,2.445,2.445,2.445,40.34,40.34,40.34,40.34,40.34,40.34,40.34
1999,171,SW,343,343,2.662,2.662,2.662,2.662,2.662,2.662,2.662,40.66,40.66,40.66,40.66,40.66,40.66,40.66
1999,172,SW,388.33,388.33,2.387,2.387,2.387,2.387,2.387,2.387,2.387,40.28,40.28,40.28,40.28,40.28,40.28,40.28
1999,173,SW,362.29,362.29,2.304,2.304,2.304,2.304,2.304,2.304,2.304,40.41,40.41,40.41,40.41,40.41,40.41,40.41
1999,174,SW,572.08,572.08,2.229,2.229,2.229,2.229,2.229,2.229,2.229,40.12,40.12,40.12,40.12,40.12,40.12,40.12
1999,175,SW,825.91,825.91,3.023,3.023,3.023,3.023,3.023,3.023,3.023,40.42,40.42,40.42,40.42,40.42,40.42,40.42
1999,176,SW,712.15,712.15,2.97,2.97,2.97,2.97,2.97,2.97,2.97,41.02,41.02,41.02,41.02,41.02,41.02,41.02
1999,177,SW,540.44,540.44,2.584,2.584,2.584,2.584,2.584,2.584,2.584,41.61,41.61,41.61,41.61,41.61,41.61,41.61
1999,178,SW,575.01,575.01,2.354,2.354,2.354,2.354,2.354,2.354,2.354,41.36,41.36,41.36,41.36,41.36,41.36,41.36
1999,179,SW,535,535,2.601,2.601,2.601,2.601,2.601,2.601,2.601,41.45,41.45,41.45,41.45,41.45,41.45,41.45
1999,180,SW,543.11,543.11,2.178,2.178,2.178,2.178,2.178,2.178,2.178,41.07,41.07,41.07,41.07,41.07,41.07,41.07
1999,181,SW,634.65,634.65,2.558,2.558,2.558,2.558,2.558,2.558,2.558,41.44,41.44,41.44,41.44,41.44,41.44,41.44
1999,182,SW,466.23,466.23,2.575,2.575,2.575,2.575,2.575,2.575,2.575,41.46,41.46,41.46,41.46,41.46,41.46,41.46
1999,183,SW,719.84,719.84,2.541,2.541,2.541,2.541,2.541,2.541,2.541,41.83,41.83,41.83,41.83,41.83,41.83,41.83
1999,184,SW,383.65,383.65,2.672,2.672,2.672,2.672,2.672,2.672,2.672,41.37,41.37,41.37,41.37,41.37,41.37,41.37
1999,185,SW,554,554,2.851,2.851,2.851,2.851,2.851,2.851,2.851,41.99,41.99,41.99,41.99,41.99,41.99,41.99
1999,186,SW,561.93,561.93,2.751,2.751,2.751,2.751,2.751,2.751,2.751,41.55,41.55,41.55,41.55,41.55,41.55,41.55
1999,187,SW,249.4,249.4,2.717,2.717,2.717,2.717,2.717,2.717,2.717,41.9,41.9,41.9,41.9,41.9,41.9,41.9
1999,188,SW,263.94,263.94,2.518,2.518,2.518,2.518,2.518,2.518,2.518,41.53,41.53,41.53,41.53,41.53,41.53,41.53
1999,189,SW,585.95,585.95,2.626,2.626,2.626,2.626,2.626,2.626,2.626,40.41,40.41,40.41,40.41,40.41,40.41,40.41
1999,190,SW,444.59,444.59,2.504,2.504,2.504,2.504,2.504,2.504,2.504,41.85,41.85,41.85,41.85,41.85,41.85,41.85
1999,191,SW,459.45,459.45,2.478,2.478,2.478,2.478,2.478,2.478,2.478,41.18,41.18,41.18,41.18,41.18,41.18,41.18
1999,192,SW,416.34,416.34,2.564,2.564,2.564,2.564,2.564,2.564,2.564,41.55,41.55,41.55,41.55,41.55,41.55,41.55
1999,193,SW,526.1,526.1,2.743,2.743,2.743,2.743,2.743,2.743,2.743,41.8,41.8,41.8,41.8,41.8,41.8,41.8
1999,194,SW,387.01,387.01,2.399,2.399,2.399,2.399,2.399,2.399,2.399,42.15,42.15,42.15,42.15,42.15,42.15,42.15
1999,195,SW,334.63,334.63,2.595,2.595,2.595,2.595,2.595,2.595,2.595,42.22,42.22,42.22,42.22,42.22,42.22,42.22
1999,196,SW,488.94,488.94,2.378,2.378,2.378,2.378,2.378,2.378,2.378,41.99,41.99,41.99,41.99,41.99,41.99,41.99
