HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,GrainSampleArea_P1,GrainMassWet_P1,GrainMassWetInGrainSample_P1,GrainMassWetInGrainSample_P2,GrainMassOvenDryInGrainSample_P1,GrainMassOvenDryInGrainSample_P2,GrainMassAirDry_P1,GrainMassOvenDry_P1,GrainMassOvenDry_P2,GrainMoistureProportion_P2,GrainMoisture_P1,GrainProtein_P1,GrainStarch_P1,GrainWGlutDM_P1,GrainOilDM_P1,GrainTestWeight_P1,GrainCarbon_P1,GrainNitrogen_P1,GrainSulfur_P1,BiomassSampleArea_P1,BiomassWet_P1,BiomassAirDry_P1,GrainMassWetInBiomassSample_P1,GrainMassOvenDryInBiomassSample_P1,GrainMassOvenDryInBiomassSample_P2,ResidueMassWetSubsample_P1,ResidueMassOvenDrySubsample_P1,ResidueMoistureProportionSubsample_P2,ResidueCarbon_P1,ResidueNitrogen_P1,ResidueSulfur_P1,Comments_P1,GrainYieldWet_P2,GrainYieldAirDry_P2,GrainYieldOvenDry_P2,ResidueMassWet_P2,ResidueMassOvenDry_P2,ResidueMassWetPerArea_P2,ResidueMassOvenDryPerArea_P2,ResidueMassAirDry_P2,ResidueMassAirDryPerArea_P2
1999,25,-117.085974,46.779047,,SW,0.0,667.8,0.0,,0.0,,,643.64,,0.036178496555855,,,,,,,40.87,2.104,0.1582,2.032,1685.1,,667.8,643.64,,113.2,103.5,0.08568904593639579,43.56,0.47,0.08,,328.64173228346453,,316.751968503937,1017.3,930.1285335689046,500.6397637795275,457.7404200634373,,
1999,26,-117.085556,46.778952,,SW,0.0,708.8,0.0,,0.0,,,682.76,,0.036738148984198596,,,,,,,41.43,2.513,0.179,2.032,1677.9,,708.8,682.76,,95.8,87.4,0.08768267223382037,43.68,0.4,0.08,,348.81889763779526,,336.003937007874,969.1000000000001,884.1267223382048,476.91929133858275,435.1017334341559,,
1999,27,-117.08511704,46.77906282,,SW,0.0,692.4,0.0,,0.0,,,667.38,,0.03613518197573654,,,,,,,41.24,2.443,0.1813,2.032,1647.7,,692.4,667.38,,105.9,97.37,0.080547686496695,44.15,0.4,0.08,,340.748031496063,,328.43503937007875,955.3000000000001,878.3527950897073,470.12795275590554,432.2602338039898,,
1999,28,-117.08472,46.778918,,SW,0.0,592.6,0.0,,0.0,,,570.8,,0.03678704016199809,,,,,,,41.84,2.582,0.1789,2.032,1491.6,,592.6,570.8,,88.4,81.6,0.07692307692307705,44.07,0.43,0.07,,291.63385826771656,,280.9055118110236,898.9999999999999,829.8461538461536,442.42125984251965,408.3888552392488,,
1999,29,-117.084302,46.779007,,SW,0.0,587.9,0.0,,0.0,,,565.26,,0.03850995067188295,,,,,,,41.58,2.381,0.1731,2.032,1486.3,,587.9,565.26,,104.0,96.0,0.07692307692307693,43.8,0.46,0.07,,289.32086614173227,,278.17913385826773,898.4,829.2923076923076,442.1259842519685,408.1162931556632,,
1999,30,-117.083884,46.77896,,SW,0.0,574.5,0.0,,0.0,,,552.81,,0.03775456919060062,,,,,,,41.25,2.558,0.1805,2.032,1393.8,,574.5,552.81,,82.6,76.7,0.07142857142857133,44.57,0.5,0.07,,282.7263779527559,,272.05216535433067,819.3,760.7785714285715,403.19881889763775,374.39890326209223,,
1999,31,-117.083466,46.779023,,SW,0.0,616.2,0.0,,0.0,,,593.68,,0.036546575787082265,,,,,,,42.24,2.563,0.1796,2.032,1499.4,,616.2,593.68,,93.6,86.7,0.07371794871794864,44.58,0.43,0.08,,303.248031496063,,292.1653543307086,883.2,818.0923076923078,434.6456692913386,402.60448213204126,,
1999,32,-117.083048,46.778944,,SW,0.0,518.2,0.0,,0.0,,,499.97,,0.03517946738710925,,,,,,,41.45,2.329,0.1709,2.032,1198.4,,518.2,499.97,,102.6,95.4,0.07017543859649113,44.55,0.33,0.07,,255.0196850393701,,246.0482283464567,680.2,632.4666666666668,334.744094488189,311.25328083989507,,
1999,33,-117.08263,46.779013,,SW,0.0,316.1,0.0,,0.0,,,305.09,,0.03483074976273346,,,,,,,41.73,2.94,0.203,2.032,909.3,,316.1,305.09,,86.9,80.8,0.07019562715765257,43.51,0.56,0.08,,155.56102362204726,,150.14271653543307,593.1999999999999,551.5599539700804,291.9291338582677,271.4369852214963,,
1999,34,-117.082212,46.77905,,SW,0.0,553.9,0.0,,0.0,,,534.61,,0.03482578082686399,,,,,,,41.68,2.201,0.1637,2.032,1349.8,,553.9,534.61,,108.5,101.5,0.06451612903225806,43.32,0.31,0.06,,272.58858267716533,,263.0954724409449,795.9,744.5516129032258,391.6830708661417,366.4131953263906,,
1999,35,-117.081794,46.778852,,SW,0.0,390.2,0.0,,0.0,,,375.12,,0.03864684777037413,,,,,,,41.63,2.318,0.177,2.032,1196.1,,390.2,375.12,,122.8,114.2,0.07003257328990224,44.28,0.35,0.07,,192.0275590551181,,184.60629921259843,805.8999999999999,749.4607491856676,396.60433070866134,368.82910885121436,,
1999,36,-117.08140584,46.77900737,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,37,-117.080958,46.778993,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,38,-117.08054,46.778849,,SW,0.0,686.8,0.0,,0.0,,,660.93,,0.03766744321490974,,,,,,,41.22,2.1,0.1706,2.032,1594.1,,686.8,660.93,,114.8,106.5,0.07229965156794423,42.84,0.33,0.09,,337.9921259842519,,325.2608267716535,907.3,841.7025261324042,446.505905511811,414.22368412027765,,
1999,39,-117.080122,46.779112,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,40,-117.079704,46.779083,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,41,-117.079286,46.779047,,SW,0.0,706.2,0.0,,0.0,,,686.02,,0.02857547436986698,,,,,,,41.01,2.359,0.1755,2.032,1839.5,,706.2,686.02,,92.3,85.3,0.07583965330444203,43.27,0.49,0.1,,347.53937007874015,,337.6082677165354,1133.3,1047.3509209100757,557.7263779527559,515.4286028100767,,
1999,42,-117.08870619,46.77911338,,SW,0.0,729.0,0.0,,0.0,,,706.69,,0.03060356652949238,,,,,,,41.13,2.432,0.1752,2.032,1693.5,,729.0,706.69,,88.2,83.8,0.04988662131519281,43.27,0.42,0.09,,358.75984251968504,,347.78051181102364,964.5,916.3843537414965,474.65551181102364,450.97655203813804,,
1999,43,-117.088318,46.779153,,SW,0.0,739.6,0.0,,0.0,,,714.13,,0.0344375338020552,,,,,,,41.41,2.383,0.1741,2.032,1712.8,,739.6,714.13,,106.0,94.1,0.11226415094339628,43.39,0.34,0.07,,363.9763779527559,,351.44192913385825,973.1999999999999,863.9445283018866,478.9370078740157,425.1695513296686,,
1999,44,-117.0879,46.779128,,SW,0.0,480.5,0.0,,0.0,,,462.95,,0.036524453694068704,,,,,,,41.43,2.341,0.1765,2.032,1182.3,,480.5,462.95,,95.5,90.8,0.0492146596858639,43.75,0.41,0.08,,236.46653543307087,,227.8297244094488,701.8,667.2611518324607,345.37401574803147,328.3765510986519,,
1999,45,-117.08746351,46.77928833,,SW,0.0,386.8,0.0,,0.0,,,371.82,,0.03872802481902797,,,,,,,42.86,2.775,0.1937,2.032,1012.2,,386.8,371.82,,70.8,68.9,0.026836158192090277,43.77,0.44,0.07,,190.35433070866142,,182.98228346456693,625.4000000000001,608.6166666666668,307.77559055118115,299.51607611548565,,
1999,46,-117.087064,46.779278,,SW,0.0,462.8,0.0,,0.0,,,444.82,,0.038850475367329336,,,,,,,40.84,2.215,0.165,2.032,1110.6,,462.8,444.82,,85.9,84.5,0.016298020954598435,43.43,0.32,0.07,,227.75590551181102,,218.90748031496062,647.8,637.2421420256111,318.7992125984252,313.6034163511866,,
1999,47,-117.086646,46.779363,,SW,0.0,537.2,0.0,,0.0,,,518.5,,0.03481012658227856,,,,,,,41.68,2.503,0.1827,2.032,1258.7,,537.2,518.5,,84.6,81.22,0.03995271867612288,44.18,0.38,0.08,,264.3700787401575,,255.16732283464566,721.5,692.6741134751774,355.06889763779526,340.8829298598314,,
1999,48,-117.086228,46.779333,,SW,0.0,682.5,0.0,,0.0,,,659.78,,0.03328937728937733,,,,,,,42.01,2.282,0.1693,2.032,1573.0,,682.5,659.78,,95.4,91.8,0.03773584905660386,44.24,0.29,0.06,,335.8759842519685,,324.69488188976374,890.5,856.8962264150942,438.23818897637796,421.7008988263259,,
1999,49,-117.08581,46.779238,,SW,0.0,794.5,0.0,,0.0,,,768.08,,0.033253618628067916,,,,,,,41.81,2.43,0.1786,2.032,2004.1,,794.5,768.08,,106.3,101.4,0.046095954844778846,46.56,0.44,0.1,,390.994094488189,,377.99212598425197,1209.6,1153.8423330197554,595.275590551181,567.8357938089348,,
1999,50,-117.08533553,46.77932123,,SW,0.0,800.5,0.0,,0.0,,,774.49,,0.032492192379762634,,,,,,,41.55,2.562,0.1905,2.032,1874.4,,800.5,774.49,,120.9,112.0,0.07361455748552527,41.16,0.34,0.08,,393.9468503937008,,381.1466535433071,1073.9,994.8453267162945,528.494094488189,489.5892355887276,,
1999,51,-117.08496351,46.77919681,,SW,0.0,595.6,0.0,,0.0,,,576.05,,0.03282404298186714,,,,,,,41.34,2.39,0.1723,2.032,1466.9,,595.6,576.05,,94.8,90.9,0.04113924050632903,43.53,0.37,0.07,,293.1102362204725,,283.48917322834643,871.3000000000001,835.4553797468355,428.7893700787402,411.14930105651354,,
1999,52,-117.084556,46.779293,,SW,0.0,758.9,0.0,,0.0,,,732.8,,0.03439188298853607,,,,,,,41.83,2.468,0.1739,2.032,1949.0,,758.9,732.8,,120.5,111.4,0.07551867219917008,44.11,0.39,0.07,,373.4744094488189,,360.6299212598425,1190.1,1100.2252282157676,585.6791338582676,541.4494233345313,,
1999,53,-117.084138,46.779246,,SW,0.0,681.22,0.0,,0.0,,,656.87,,0.035744693344294094,,,,,,,49.12,2.233,0.2218,2.032,1697.3,,681.22,656.87,,112.1,105.9,0.05530776092774299,43.4,0.37,0.07,,335.246062992126,,323.2627952755906,1016.0799999999999,959.8828902765388,500.0393700787401,472.38331214396595,,
1999,54,-117.08372,46.779309,,SW,0.0,541.5,0.0,,0.0,,,522.56,,0.03497691597414599,,,,,,,49.33,2.017,0.21,2.032,1377.3,,541.5,522.56,,126.7,113.8,0.10181531176006318,44.11,0.39,0.06,,266.48622047244095,,257.1653543307086,835.8,750.7027624309392,411.31889763779526,369.44033584199764,,
1999,55,-117.083302,46.77923,,SW,0.0,495.0,0.0,,0.0,,,478.17,,0.03399999999999997,,,,,,,49.32,2.219,0.2268,2.032,1248.0,,495.0,478.17,,99.2,96.3,0.029233870967741993,44.05,0.42,0.07,,243.60236220472441,,235.3198818897638,753.0,730.9868951612902,370.57086614173227,359.7376452565405,,
1999,56,-117.08290191,46.77931128,,SW,0.0,688.1,0.0,,0.0,,,664.18,,0.03476238918761818,,,,,,,45.89,2.178,0.2226,2.032,1638.7,,688.1,664.18,,91.5,86.8,0.05136612021857927,46.89,0.47,0.07,,338.63188976377955,,326.8602362204724,950.6,901.7713661202185,467.81496062992125,443.7851211221548,,
1999,57,-117.082466,46.779336,,SW,0.0,481.9,0.0,,0.0,,,464.91,,0.03525627723594097,,,,,,,43.58,2.438,0.2409,2.032,1228.3,,481.9,464.91,,92.7,90.9,0.019417475728155307,43.89,0.5,0.07,,237.15551181102362,,228.7942913385827,746.4,731.9067961165049,367.3228346456693,360.1903524195398,,
1999,58,-117.082048,46.779138,,SW,0.0,612.7,0.0,,0.0,,,591.85,,0.034029704586257585,,,,,,,43.54,2.311,0.2156,2.032,1445.5,,612.7,591.85,,104.2,103.5,0.006717850287907896,43.42,0.32,0.06,,301.5255905511811,,291.2647637795276,832.8,827.2053742802302,409.84251968503935,407.0892589961763,,
1999,59,-117.08160015,46.77925244,,SW,0.0,340.9,0.0,,0.0,,,328.83,,0.03540627750073334,,,,,,,43.33,2.028,0.2038,2.032,1017.0,,340.9,328.83,,80.5,78.8,0.021118012422360284,42.79,0.36,0.06,,167.76574803149606,,161.8257874015748,676.1,661.8221118012423,332.7263779527559,325.6998581699027,,
1999,60,-117.081212,46.779279,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,61,-117.080794,46.779135,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,62,-117.08039988,46.77941847,,SW,0.0,449.3,0.0,,0.0,,,434.32,,0.03334075228132655,,,,,,,36.82,2.322,0.157,2.032,1308.6,,449.3,434.32,,86.3,84.5,0.02085747392815756,43.91,0.48,0.08,,221.11220472440945,,213.74015748031496,859.3,841.3771726535342,422.8838582677165,414.06356921925897,,
1999,63,-117.079958,46.779369,,SW,0.0,654.9,0.0,,0.0,,,632.28,,0.03453962437013285,,,,,,,43.92,2.497,0.1852,2.032,1587.5,,654.9,632.28,,91.0,89.5,0.016483516483516484,43.46,0.39,0.08,,322.29330708661416,,311.1614173228346,932.6,917.2274725274725,458.95669291338584,451.3914727005278,,
1999,64,-117.07954,46.779333,,SW,0.0,586.9,0.0,,0.0,,,567.58,,0.03291872550690056,,,,,,,42.38,2.659,0.1884,2.032,1491.5,,586.9,567.58,,89.5,88.7,0.008938547486033488,43.49,0.4,0.09,,288.8287401574803,,279.3208661417323,904.6,896.5141899441342,445.1771653543307,441.19792812211324,,
1999,65,-117.079122,46.779254,,SW,0.0,654.7,0.0,,0.0,,,632.04,,0.03461127233847576,,,,,,,41.98,2.353,0.1714,2.032,1513.9,,654.7,632.04,,98.5,95.4,0.03147208121827405,43.68,0.32,0.07,,322.1948818897638,,311.04330708661416,859.2,832.159187817259,422.8346456692914,409.5271593588873,,
1999,66,-117.07873385,46.77928646,,SW,0.0,620.2,0.0,,0.0,,,599.49,,0.033392454047081646,,,,,,,42.11,2.538,0.1845,2.032,1561.2,,620.2,599.49,,85.4,82.1,0.03864168618266992,43.65,0.39,0.06,,305.2165354330709,,295.0246062992126,941.0,904.6381733021076,463.09055118110234,445.19595142820253,,
1999,67,-117.078286,46.779271,,SW,0.0,746.8,0.0,,0.0,,,721.36,,0.03406534547402242,,,,,,,41.88,2.569,0.1844,2.032,1821.7,,746.8,721.36,,92.3,89.0,0.035752979414951216,44.04,0.45,0.08,,367.5196850393701,,355.0,1074.9,1036.469122426869,528.986220472441,510.07338702109695,,
1999,68,-117.088231,46.779439,,SW,0.0,636.7,0.0,,0.0,,,615.07,,0.03397204334851577,,,,,,,41.7,2.456,0.1816,2.032,1441.1,,636.7,615.07,,103.5,96.5,0.06763285024154589,44.3,0.4,0.1,,313.3366141732284,,302.6919291338583,804.3999999999999,749.9961352657003,395.8661417322834,369.0925862528053,,
1999,69,-117.087813,46.779414,,SW,0.0,507.9,0.0,,0.0,,,490.93,,0.03341208899389638,,,,,,,42.9,2.351,0.1714,2.032,1173.4,,507.9,490.93,,86.6,82.4,0.048498845265588786,44.92,0.32,0.07,,249.9507874015748,,241.5994094488189,665.5000000000001,633.2240184757508,327.5098425196851,311.62599334436555,,
1999,70,-117.087395,46.779587,,SW,0.0,546.3,0.0,,0.0,,,528.56,,0.032473000183049626,,,,,,,42.72,2.183,0.1572,2.032,1377.9,,546.3,528.56,,78.3,74.3,0.05108556832694764,44.59,0.24,0.06,,268.84842519685037,,260.11811023622045,831.6000000000001,789.1172413793105,409.25196850393706,388.3450991039914,,
1999,71,-117.086977,46.779564,,SW,0.0,399.7,0.0,,0.0,,,386.62,,0.03272454340755563,,,,,,,42.65,2.551,0.1846,2.032,911.9,,399.7,386.62,,79.1,77.8,0.016434892541087195,43.8,0.45,0.08,,196.7027559055118,,190.26574803149606,512.2,503.7820480404552,252.06692913385828,247.9242362403815,,
1999,72,-117.086559,46.779649,,SW,0.0,529.9,0.0,,0.0,,,511.96,,0.03385544442347613,,,,,,,42.79,2.398,0.1863,2.032,1224.2,,529.9,511.96,,87.7,82.9,0.054732041049030754,42.89,0.35,0.09,,260.7775590551181,,251.94881889763778,694.3000000000001,656.299543899658,341.68307086614175,322.9820590057372,,
1999,73,-117.08617246,46.77963697,,SW,0.0,606.7,0.0,,0.0,,,586.53,,0.033245426075490477,,,,,,,42.16,2.526,0.176,2.032,1302.8,,606.7,586.53,,84.0,78.9,0.060714285714285644,43.34,0.37,0.09,,298.57283464566933,,288.6466535433071,696.0999999999999,653.8367857142857,342.5688976377952,321.7700717097863,,
1999,74,-117.08569155,46.77950963,,SW,0.0,773.8,0.0,,0.0,,,749.43,,0.03149392607909021,,,,,,,42.33,2.477,0.1814,2.032,1748.1,,773.8,749.43,,96.4,91.8,0.04771784232365154,43.01,0.34,0.09,,380.8070866141732,,368.8139763779527,974.3,927.8085062240663,479.47834645669286,456.5986743228672,,
1999,75,-117.085305,46.779642,,SW,0.0,622.8,0.0,,0.0,,,600.58,,0.03567758509955028,,,,,,,42.16,2.241,0.1669,2.032,1551.0,,622.8,600.58,,119.7,109.5,0.08521303258145366,43.29,0.35,0.06,,306.496062992126,,295.5610236220473,928.2,849.1052631578948,456.79133858267716,417.8667633651057,,
1999,76,-117.084887,46.77949,,SW,0.0,671.4,0.0,,0.0,,,646.62,,0.03690795352993741,,,,,,,42.18,2.272,0.1731,2.032,1490.1,,671.4,646.62,,106.6,98.9,0.07223264540337701,43.4,0.35,0.06,,330.4133858267716,,318.2185039370079,818.6999999999999,759.5631332082552,402.9035433070866,373.80075453162164,,
1999,77,-117.084469,46.779579,,SW,0.0,504.0,0.0,,0.0,,,485.58,,0.03654761904761908,,,,,,,42.01,2.238,0.1685,2.032,1237.1,,504.0,485.58,,114.5,109.5,0.043668122270742356,43.89,0.33,0.07,,248.03149606299212,,238.96653543307085,733.0999999999999,701.0868995633186,360.77755905511805,345.02308049375915,,
1999,78,-117.084051,46.779532,,SW,0.0,676.0,0.0,,0.0,,,652.22,,0.03517751479289937,,,,,,,42.13,2.177,0.1706,2.032,1723.6,,676.0,652.22,,121.9,115.5,0.05250205086136182,44.68,0.25,0.05,,332.6771653543307,,320.9744094488189,1047.6,992.5988515176373,515.5511811023622,488.4836867704908,,
1999,79,-117.083633,46.779595,,SW,0.0,469.9,0.0,,0.0,,,451.54,,0.039072143009150795,,,,,,,42.19,2.235,0.1747,2.032,1184.6,,469.9,451.54,,120.4,114.4,0.04983388704318937,44.58,0.32,0.06,,231.24999999999997,,222.21456692913387,714.6999999999999,679.0837209302325,351.72244094488184,334.19474455227976,,
